ENTRY	GENES	NAME
EC 2.1.1.264	[u'rlmL']	[u'RlmKL']
EC 2.1.1.265	[u'tehB']	[u'TehB']
EC 2.1.1.266	[u'rlmJ']	[u'RlmJ']
EC 2.1.1.33	[u'trmI']	[u'TrmB']
EC 2.1.1.34	[u'trmH']	[u'TrmH']
EC 2.1.1.35	[u'trmA']	[u'TrmA']
EC 2.1.1.37	[u'dcm']	[u'Dcm']
EC 2.1.1.45	[u'thyA']	[u'TysY']
EC 2.1.1.61	[u'mnmC']	[u'MnmC']
EC 2.1.1.63	[u'ogt', u'ada']	[u'Ogt', u'Ada']
EC 2.1.1.64	[u'ubiG']	[u'UbiG']
EC 2.1.1.72	[u'prmB', u'yhdJ', u'dam', u'hsdM']	[u'Dma', u'PrmB', u'YhdJ', u'T1mK']
EC 2.1.1.77	[u'pcm']	[u'PimT']
EC 2.1.1.79	[u'cfa']	[u'Cfa']
EC 2.1.1.80	[u'cheR']	[u'CheR']
EC 2.1.2.1	[u'glyA']	[u'GlyA']
EC 2.1.2.10	[u'gcvT']	[u'GcsT']
EC 2.1.2.11	[u'panB']	[u'PanB']
EC 2.1.2.13	[u'arnA']	[u'ArnA']
EC 2.1.2.2	[u'purT', u'purN']	[u'PurT', u'Pur3']
EC 2.1.2.3	[u'purH']	[u'Pur9']
EC 2.1.2.9	[u'fmt']	[u'Fmt']
EC 2.1.3.2	[u'pyrB']	[u'PyrB']
EC 2.1.3.3	[u'argF', u'argI']	[u'Otc1', u'Otc2']
EC 2.2.1.1	[u'tktB', u'tktA']	[u'Tkt2', u'Tkt1']
EC 2.2.1.2	[u'talB', u'talA']	[u'TalA', u'TalB']
EC 2.2.1.6	[u'ilvI', u'ilvH', u'ilvN', u'ilvB', u'ilvM']	[u'IlvN', u'IlvH', u'IlvB', u'IlvM', u'IlvI']
EC 2.2.1.7	[u'dxs']	[u'Dxs']
EC 2.2.1.9	[u'menD']	[u'MenD']
EC 2.3.1.1	[u'argA']	[u'ArgA']
EC 2.3.1.109	[u'astA']	[u'AstA']
EC 2.3.1.117	[u'dapD']	[u'DapD']
EC 2.3.1.118	[u'nhoA']	[u'NhoA']
EC 2.3.1.12	[u'aceF']	[u'Odp2']
EC 2.3.1.128	[u'rimJ', u'rimI']	[u'RimI', u'RimJ']
EC 2.3.1.15	[u'plsX', u'plsY', u'plsB']	[u'PlsY', u'PlsX', u'PlsB']
EC 2.3.1.157	[u'glmU']	[u'GlmU']
EC 2.3.1.16	[u'fadI', u'fadA']	[u'FadA', u'FadI']
EC 2.3.1.179	[u'fabF']	[u'FabF']
EC 2.3.1.18	[u'lacA']	[u'ThgA']
EC 2.3.1.180	[u'fabH']	[u'FabH']
EC 2.3.1.181	[u'lipB']	[u'LipB']
EC 2.3.1.183	[u'mnaT']	[u'MnaT']
EC 2.3.1.191	[u'lpxD']	[u'LpxD']
EC 2.3.1.193	[u'tmcA']	[u'TmcA']
EC 2.3.1.210	[u'wecD']	[u'WecD']
EC 2.3.1.29	[u'kbl']	[u'Kbl']
EC 2.3.1.30	[u'cysE']	[u'CysE']
EC 2.3.1.39	[u'fabD']	[u'FabD']
EC 2.3.1.40	[u'aas']	[u'Aas']
EC 2.3.1.46	[u'metA']	[u'MetA']
EC 2.3.1.47	[u'bioF']	[u'BioF']
EC 2.3.1.51	[u'plsC']	[u'PlsC']
EC 2.3.1.54	[u'ybiW', u'pflB', u'tdcE', u'pflD']	[u'PflD', u'PflB', u'TdcE', u'PflF']
EC 2.3.1.57	[u'speG']	[u'AtdA']
EC 2.3.1.61	[u'sucB']	[u'Odo2']
EC 2.3.1.79	[u'maa']	[u'Maa']
EC 2.3.1.8	[u'pta']	[u'Pta']
EC 2.3.2.2	[u'ggt']	[u'Ggt']
