Global condition name	Specific condition (contained in the global condition) name	Control condition name	Experimental Details of the specific condition	Experimental Details of the control condition	Gene affected by the specific condition*	Gene expression effect caused by the specific condition	Promoter affected by the condition	Conformation of the transcription factor through which the condition affects the gene expression
Carbon Source	supplemented with glucose	no supplemented			sdaC	repressed		
Compounds overproduction	overproduction of NlpE	no-overproduction of NlpE			cpxP	induced		
Compounds overproduction	overproduction of NlpE	no-overproduction of NlpE			degP	induced		CpxR-Phosphorylated
Compounds overproduction	overproduction of NlpE	no-overproduction of NlpE			dsbA	induced	rdoAp	CpxR-Phosphorylated
Compounds overproduction	overproduction of NlpE	no-overproduction of NlpE			rdoA	induced	rdoAp	CpxR-Phosphorylated
Compounds overproduction	overproduction of NlpE	no-overproduction of NlpE			rpoH	not effect	rpoHp3	
Compounds overproduction	overproduction of OmpC	no-overproduction of OmpC			degP	induced		
Compounds overproduction	overproduction of OmpC	no-overproduction of OmpC			rpoH	induced	rpoHp3	
Compounds overproduction	overproduction of OmpF	no-overproduction of OmpF			degP	induced		
Compounds overproduction	overproduction of OmpF	no-overproduction of OmpF			dsbA	not effect	dsbAp	
Compounds overproduction	overproduction of OmpF	no-overproduction of OmpF			ppiA	induced	ppiAp1	
Compounds overproduction	overproduction of OmpF	no-overproduction of OmpF			rpoH	not effect	rpoHp3	
Compounds overproduction	overproduction of OmpX	no-overproduction of OmpX			degP	induced		
Compounds overproduction	overproduction of OmpX	no-overproduction of OmpX			fkpA	induced		
Compounds overproduction	overproduction of OmpX	no-overproduction of OmpX			rpoH	induced	rpoHp3	
Compounds overproduction	overproduction of sigma E	no-overproduction of sigma E			dsbA	not effect		
Compounds overproduction	overproduction of sigma E	no-overproduction of sigma E			rdoA	not effect		
Compounds overproduction	protein overproduction	no protein overproduction			degP	not effect		
Compounds overproduction	protein overproduction	no protein overproduction			gapA	induced		
Compounds overproduction	protein overproduction	no protein overproduction			gapA	induced		
Compounds overproduction	protein overproduction	no protein overproduction			gapA	induced		
Compounds overproduction	protein overproduction	no protein overproduction			rplJ	repressed		
Compounds overproduction	protein overproduction	no protein overproduction			rplK	repressed		
Compounds overproduction	protein overproduction	no protein overproduction			rpoB	repressed		
