Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoN	ybcK[ybcKp1]	+	[ICWHO]
RpoN	ybhK[ybhKp]	+	[AIPP]
RpoN	ybiO[ybiOp5]	+	[ICWHO]
RpoN	ycgG[ycgGp7]	+	[ICWHO]
RpoN	ycgN[ycgNp1]	+	[ICWHO]
RpoN	ycjD[ycjDp5]	+	[ICWHO]
RpoN	yeaGH[yeaGp1]	+	[AIPP]
RpoN	yebV[yebVp2]	+	[ICWHO]
RpoN	yeiB[yeiBp2]	+	[ICWHO]
RpoN	yejH[yejHp]	+	"[HIPP, IEP]"
RpoN	yfeA[yfeAp6]	+	[ICWHO]
RpoN	ygfK-ssnA[ygfKp]	+	"[HIPP, IEP]"
RpoN	yggM[yggMp1]	+	[ICWHO]
RpoN	yhdWXYZ[yhdWp]	+	[AIPP]
RpoN	yheV[yheVp1]	+	[ICWHO]
RpoN	yhhM[yhhMp1]	+	[ICWHO]
RpoN	yhiD[yhiDp1]	+	[ICWHO]
RpoN	yhjC[yhjCp]	+	"[HIPP, IEP]"
RpoN	yihLM[yihLp1]	+	[ICWHO]
RpoN	yihLM[yihLp5]	+	[ICWHO]
RpoN	yjaA[yjaAp3]	+	[ICWHO]
RpoN	yjaG[yjaGp4]	+	[ICWHO]
RpoN	yjhU[yjhUp1]	+	[ICWHO]
RpoN	yjjX[yjjXp6]	+	[ICWHO]
RpoN	yqeG[yqeGp5]	+	[ICWHO]
RpoN	yrdB[yrdBp1]	+	[ICWHO]
RpoN	yrdB[yrdBp4]	+	[ICWHO]
RpoN	ytfF[ytfFp6]	+	[ICWHO]
RpoN	zapB[zapBp1]	+	[ICWHO]
RpoN	zraP[zraPp]	+	"[AIPP, HIPP]"
RpoN	zraSR[zraSp]	+	"[AIPP, HIPP]"
RpoD	aaeR[aaeRp6]	+	[ICWHO]
RpoD	aaeR[aaeRp7]	+	[ICWHO]
RpoD	aaeR[aaeRp9]	+	[ICWHO]
RpoD	aaeR[aaeRp10]	+	[ICWHO]
RpoD	aat[aatp5]	+	[ICWHO]
RpoD	accA[accAp]	+	[TIM]
RpoD	accBC[accBp]	+	"[HIPP, TIM]"
RpoD	accD[accDp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	aceBAK[aceBp]	+	[TIM]
RpoD	acnA[acnAp2]	+	"[HIPP, TIM]"
RpoD	acnB[acnBp]	+	"[HIPP, TIM]"
RpoD	acpP[acpPp]	+	"[HIPP, TIM]"
RpoD	acpP-fabF[acpPp]	+	"[HIPP, TIM]"
RpoD	acrAB[acrAp]	+	"[HIPP, TIM]"
RpoD	acrD[acrDp]	+	[AIPP]
RpoD	acrEF[acrEp]	+	[AIPP]
RpoD	acrR[acrRp]	+	[AIPP]
RpoD	acrZ[acrZp]	+	[TIM]
RpoD	acs-yjcH-actP[acsp1]	+	[AIPP]
RpoD	add[addp6]	+	[ICWHO]
RpoD	adeD[adep]	+	"[HIPP, TIM]"
RpoD	adeD[adep6]	+	[ICWHO]
RpoD	adeD[adep7]	+	[ICWHO]
RpoD	adeQ[yicOp10]	+	[ICWHO]
RpoD	adiA[adiAp]	+	"[HIPP, IMP, TIM]"
RpoD	agaR[agaRp]	+	"[HIPP, TIM]"
RpoD	agaS-kbaY-agaBCDI[agaSp]	+	"[HIPP, TIM]"
RpoD	ahpCF[ahpCp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	ahpCF[ahpCp2]	+	[TIM]
RpoD	ahr[yjgBp5]	+	[ICWHO]
RpoD	ais[aisp4]	+	[ICWHO]
RpoD	ais[aisp7]	+	[ICWHO]
RpoD	ais[aisp8]	+	[ICWHO]
RpoD	alaA-yfbR[alaAp7]	+	[ICWHO]
RpoD	alaC[alaCp]	+	[AIPP]
RpoD	alaE[alaEp11]	+	[ICWHO]
RpoD	alaWX[alaWp]	+	[HIPP]
RpoD	alaWX[alaXp4]	+	[ICWHO]
RpoD	alaWX[alaXp5]	+	[ICWHO]
RpoD	aldA[aldAp]	+	"[HIPP, TIM]"
RpoD	alkB[alkBp]	+	[HIPP]
RpoD	allDCE[allDp]	+	[AIPP]
RpoD	alsE[alsEp2]	+	[ICWHO]
RpoD	alx[alxp4]	+	[ICWHO]
RpoD	alx[alxp5]	+	[ICWHO]
RpoD	amiA-hemF[amiAp]	+	"[HIPP, TIM]"
RpoD	amiC[amiCp6]	+	[ICWHO]
RpoD	amiC[amiCp7]	+	[ICWHO]
RpoD	ampC[ampCp]	+	"[IMP, RS-EPT-CBR]"
RpoD	amyA[amyAp]	+	[HIPP]
RpoD	anmK[anmKp9]	+	[ICWHO]
RpoD	ansB[ansBp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	appY[appYp]	+	[AIPP]
RpoD	apt[aptp]	+	"[HIPP, TIM]"
RpoD	aqpZ[aqpZp3]	+	[ICWHO]
RpoD	araBAD[araBp]	+	[TIM]
RpoD	araC[araCp]	+	[TIM]
RpoD	araE[araEp]	+	[TIM]
RpoD	araJ[araJp]	+	[TIM]
RpoD	arcA[arcAp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	arcA[arcAp2]	+	"[HIPP, TIM]"
RpoD	arcA[arcAp3]	+	"[HIPP, TIM]"
RpoD	arcA[arcAp4]	+	"[HIPP, TIM]"
RpoD	arcA[arcAp6]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	arcA[arcAp7]	+	"[HIPP, TIM]"
RpoD	arcA[arcAp5]	+	"[HIPP, TIM]"
RpoD	arfA[arfAp3]	+	"[ICWHO, TIM]"
RpoD	argA[argAp]	+	[AIPP]
RpoD	argCBH[argCp]	+	[TIM]
RpoD	argD[argDp]	+	"[RS-EPT-CBR, TAS]"
RpoD	argE[argEp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	argF[argFp]	+	"[FP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	argG[argGp]	+	[AIPP]
RpoD	argI[argIp]	+	[TIM]
RpoD	argO[argOp]	+	"[FP, HTTIM, HIPP, TIM, CV(FP/TIM)]"
RpoD	argR[argRp1]	+	"[AIPP, TIM]"
RpoD	argS[argSp4]	+	[ICWHO]
RpoD	argU[argUp]	+	[HIPP]
RpoD	argW[argWp]	+	[HIPP]
RpoD	argX-hisR-leuT-proM[argXp]	+	"[FP, IMP, TIM, CV(FP/TIM)]"
RpoD	aroF-tyrA[aroFp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	aroG[aroGp]	+	"[FP, HIPP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	aroH[aroHp1]	+	"[HIPP, TIM]"
RpoD	aroH[aroHp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	aroKB-damX-dam-rpe-gph-trpS[aroKp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	aroKB-damX-dam-rpe-gph-trpS[aroKp2]	+	"[HIPP, TIM]"
RpoD	aroL-yaiA-aroM[aroLp]	+	[TIM]
RpoD	aroP[aroPp1]	+	"[HIPP, TIM]"
RpoD	aroP[aroPp2]	+	"[HIPP, TIM]"
RpoD	arpA[arpAp8]	+	[ICWHO]
RpoD	arpA[arpAp9]	+	[ICWHO]
RpoD	arsRBC[arsRp]	+	"[HIPP, TIM]"
RpoD	artJ[artJp]	+	"[FP, HTTIM, HIPP, RS-EPT-CBR, TIM, CV(FP/RS-EPT-CBR), CV(FP/TIM)]"
RpoD	artPIQM[artPp]	+	"[HIPP, TIM]"
RpoD	ascFB[ascFp]	+	"[AIPP, TIM]"
RpoD	ascG[ascGp]	+	[AIPP]
RpoD	asnA[asnAp]	+	"[HIPP, TIM]"
RpoD	asnC[asnCp]	+	[TIM]
RpoD	asnC-mioC[asnCp]	+	[TIM]
RpoD	asnC-mioC-mnmG[asnCp]	+	[TIM]
RpoD	asnT[asnTp]	+	[HIPP]
RpoD	asnU[asnUp]	+	[HIPP]
RpoD	asnV[asnVp]	+	[HIPP]
RpoD	aspA[aspAp]	+	[TIM]
RpoD	aspA-dcuA[aspAp]	+	[TIM]
RpoD	aspV[aspVp]	+	[HIPP]
RpoD	astCADBE[astCp1]	+	[HIPP]
RpoD	atpC[atpCp1]	+	[ICWHO]
RpoD	atpIBEFHAGDC[atpIp]	+	[TIM]
RpoD	azoR[azoRp]	+	"[HIPP, TIM]"
RpoD	azuC[azuCp]	+	[TIM]
RpoD	basS[basSp4]	+	[ICWHO]
RpoD	bax[baxp5]	+	[ICWHO]
RpoD	bax[baxp7]	+	[ICWHO]
RpoD	bcp[bcpp]	+	"[HIPP, TIM]"
RpoD	bcsBZ[bcsBp]	+	[AIPP]
RpoD	bcsEFG[bcsEp8]	+	[ICWHO]
RpoD	bcsEFG[bcsEp11]	+	[ICWHO]
RpoD	bdcA[bdcAp]	+	[AIPP]
RpoD	bdcR[bdcRp4]	+	[ICWHO]
RpoD	betA[betAp7]	+	[ICWHO]
RpoD	betIBA[betIp]	+	"[HIPP, TIM]"
RpoD	betT[betTp]	+	"[HIPP, TIM]"
RpoD	bfr[bfrp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	bglX[bglXp]	+	[HIPP]
RpoD	bhsA[bhsAp8]	+	[ICWHO]
RpoD	bhsA[bhsAp9]	+	"[ICWHO, TIM]"
RpoD	bioA[bioAp]	+	[HIPP]
RpoD	bioBFCD[bioBp]	+	[HIPP]
RpoD	bisC[bisCp3]	+	[ICWHO]
RpoD	bisC[bisCp6]	+	[ICWHO]
RpoD	bisC[bisCp7]	+	[ICWHO]
RpoD	bluF[bluFp7]	+	[ICWHO]
RpoD	bluF[bluFp]	+	[TIM]
RpoD	bluR[bluRp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	bolA[bolAp2]	+	"[AIPP, TIM]"
RpoD	bssR[bssRp5]	+	[ICWHO]
RpoD	bssS[bssSp]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	btuB-murI[btuBp]	+	[TIM]
RpoD	cadBA[cadBp]	+	"[HIPP, IMP, TIM]"
RpoD	cadC[cadCp]	+	"[HIPP, TIM]"
RpoD	caiF[caiFp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	caiTABCDE[caiTp]	+	[TIM]
RpoD	carAB[carAp2]	+	"[HIPP, TIM]"
RpoD	carAB[carAp1]	+	"[HIPP, TIM]"
RpoD	casABCDE12[casp]	+	[TIM]
RpoD	cbl[cblp]	+	"[HIPP, TIM]"
RpoD	cbpAM[cbpAp1]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoD	cbpAM[cbpAp4]	+	[TIM]
RpoD	cbrBC[cbrBp3]	+	[ICWHO]
RpoD	ccmABCDEFGH[ccmAp]	+	[TIM]
RpoD	cdd[cddp]	+	"[HIPP, TIM]"
RpoD	cdsA[cdsAp2]	+	[ICWHO]
RpoD	cdsA[cdsAp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	cedA[cedAp]	+	[HIPP]
RpoD	chiA[chiAp]	+	"[HIPP, TIM]"
RpoD	cho[chop]	+	[AIPP]
RpoD	chpSB[chpSp2]	+	[HIPP]
RpoD	chpSB[chpSp1]	+	[HIPP]
RpoD	cirA[cirAp2]	+	[TIM]
RpoD	cirA[cirAp1]	+	"[HIPP, TIM]"
RpoD	citT[citTp6]	+	[ICWHO]
RpoD	clcA[clcAp10]	+	[ICWHO]
RpoD	clpA[clpAp1]	+	"[HIPP, TIM]"
RpoD	clpPX[clpPp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	clpS[clpSp6]	+	[ICWHO]
RpoD	cmk-rpsA[cmkp]	+	"[HIPP, TIM]"
RpoD	cnu[cnup7]	+	[ICWHO]
RpoD	cnu[cnup8]	+	[ICWHO]
RpoD	cnu[cnup9]	+	[ICWHO]
RpoD	cnu[cnup10]	+	[ICWHO]
RpoD	cobT[cobTp8]	+	[ICWHO]
RpoD	cobUST[cobUp1]	+	"[FP, HIPP]"
RpoD	cobUST[cobUp2]	+	"[HIPP, TIM]"
RpoD	codBA[codBp]	+	"[HIPP, TIM]"
RpoD	comR[comRp3]	+	[ICWHO]
RpoD	copA[copAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	corA[corAp]	+	[HIPP]
RpoD	cpdB[cpdBp]	+	[TIM]
RpoD	cpxP[cpxPp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	cpxRA[cpxRp]	+	[HIPP]
RpoD	crcB[crcBp3]	+	[ICWHO]
RpoD	creABCD[creAp]	+	[HIPP]
RpoD	crl[crlp1]	+	"[HTTIM, IEP, RS-EPT-CBR, TIM]"
RpoD	crp[crpp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	csdAE[csdAp3]	+	[ICWHO]
RpoD	cspA[cspAp1]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	cspA[cspAp2]	+	[TIM]
RpoD	cspC[cspCp8]	+	[ICWHO]
RpoD	cspD[cspDp]	+	"[HIPP, TIM]"
RpoD	cspE[cspEp2]	+	"[AIPP, TIM]"
RpoD	cspE[cspEp1]	+	[AIPP]
RpoD	cspF[cspFp6]	+	[ICWHO]
RpoD	cspF[cspFp7]	+	[ICWHO]
RpoD	cspH[cspHp9]	+	[ICWHO]
RpoD	cspH[cspHp10]	+	[ICWHO]
RpoD	csrA[csrAp5]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	csrA[csrAp2]	+	"[HIPP, TIM]"
RpoD	csrB[csrBp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	csrD[csrDp4]	+	[ICWHO]
RpoD	cstA[cstAp3]	+	[TIM]
RpoD	cstA[cstAp2]	+	[TIM]
RpoD	cueR[cueRp6]	+	[ICWHO]
RpoD	cusCFBA[cusCp]	+	"[HIPP, TIM]"
RpoD	cusRS[cusRp]	+	"[HIPP, TIM]"
RpoD	cutA[cutAp]	+	[TIM]
RpoD	cutC[cutCp2]	+	[ICWHO]
RpoD	cvpA-purF-ubiX[cvpAp1]	+	"[HTTIM, HIPP, TIM]"
RpoD	cvrA[cvrAp6]	+	[ICWHO]
RpoD	cyaA[cyaAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	cyaA[cyaAp2]	+	[TIM]
RpoD	cyaY[cyaYp5]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	cybB[cybBp6]	+	[ICWHO]
RpoD	cydAB[cydAp3]	+	"[HIPP, TIM]"
RpoD	cydAB[cydAp4]	+	"[HIPP, TIM]"
RpoD	cydAB[cydAp5]	+	"[HIPP, TIM]"
RpoD	cydAB[cydAp1]	+	[TIM]
RpoD	cydAB[cydAp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	cydDC[cydDp]	+	[TIM]
RpoD	cynR[cynRp]	+	"[HIPP, TIM]"
RpoD	cynTS[cynTp]	+	"[HIPP, TIM]"
RpoD	cynTSX[cynTp]	+	"[HIPP, TIM]"
RpoD	cyoABCDE[cyoAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	cyoE[cyoEp3]	+	[ICWHO]
RpoD	cysB[cysBp]	+	[HIPP]
RpoD	cysDNC[cysDp]	+	"[HIPP, TIM]"
RpoD	cysG[cysGp1]	+	"[FP, HIPP, IMP, TIM, CV(FP/TIM)]"
RpoD	cysJIH[cysJp]	+	[TIM]
RpoD	cysK[cysKp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	cysPUWAM[cysPp]	+	[TIM]
RpoD	cysT-leuZ[leuZp3]	+	[ICWHO]
RpoD	cytR[cytRp]	+	"[RS-EPT-CBR, TIM]"
RpoD	dacA[dacAp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	dacC[dacCp]	+	[AIPP]
RpoD	dadAX[dadAp2]	+	[TIM]
RpoD	dadAX[dadAp1]	+	[TIM]
RpoD	dadAX[dadAp3]	+	[TIM]
RpoD	dam-rpe-gph-trpS[damp1]	+	"[HIPP, TIM]"
RpoD	dam-rpe-gph-trpS[damp2]	+	"[HIPP, TIM]"
RpoD	damX-dam-rpe-gph-trpS[damXp]	+	"[HIPP, TIM]"
RpoD	dapA-bamC[dapAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	dapB[dapBp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	dapB[dapBp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	dapD[dapDp]	+	"[RS-EPT-CBR, TIM]"
RpoD	dapE-ypfN[dapEp]	+	"[HIPP, IDA]"
RpoD	dctA[dctAp]	+	[TIM]
RpoD	dcuA[dcuAp]	+	[TIM]
RpoD	dcuB-fumB[dcuBp]	+	[TIM]
RpoD	dcuD[dcuDp]	+	[HIPP]
RpoD	dcuR[dcuRp]	+	[TIM]
RpoD	dcuSR[dcuSp]	+	"[HIPP, TIM]"
RpoD	dedD[dedDp3]	+	[ICWHO]
RpoD	def-fmt[defp]	+	"[RS-EPT-CBR, TIM]"
RpoD	deoBD[deoBp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	deoCABD[deoCp1]	+	[TIM]
RpoD	deoCABD[deoCp2]	+	[TIM]
RpoD	dgcZ[dgcZp]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	dicB-ydfDE-insD-intQ[dicBp]	+	"[HIPP, TASES]"
RpoD	dicC-ydfXW[dicCp]	+	"[HIPP, TIM]"
RpoD	dinG[dinGp]	+	"[AIPP, HIPP]"
RpoD	dinI[dinIp]	+	"[HTTIM, IHBCE]"
RpoD	dinJ-yafQ[dinJp]	+	[AIPP]
RpoD	dinQ[dinQp]	+	"[RS-EPT-CBR, TIM]"
RpoD	djlA[djlAp3]	+	[ICWHO]
RpoD	dksA-gluQ[dksAp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	dksA-gluQ[dksAp3]	+	[TIM]
RpoD	dld[dldp6]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	dld[dldp7]	+	[ICWHO]
RpoD	dmlR[dmlRp3]	+	[ICWHO]
RpoD	dmsABC[dmsAp1]	+	"[NTAS, RS-EPT-CBR, TIM]"
RpoD	dnaAN-recF[dnaAp2]	+	[TIM]
RpoD	dnaN-recF[dnaNp3]	+	"[HIPP, TIM]"
RpoD	dppABCDF[dppAp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	dsbA[dsbAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	dsbB[dsbBp6]	+	[ICWHO]
RpoD	dsdA[dsdAp]	+	[TIM]
RpoD	dsdC[dsdCp]	+	[AIPP]
RpoD	dsdXA[dsdXp]	+	[TIM]
RpoD	dsrA[dsrAp]	+	"[HIPP, TIM]"
RpoD	dtpD[dtpDp5]	+	[ICWHO]
RpoD	dtpD[dtpDp6]	+	[ICWHO]
RpoD	dtpD[dtpDp8]	+	[ICWHO]
RpoD	dusA[dusAp6]	+	[ICWHO]
RpoD	dusB-fis[dusBp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoD	dut-slmA[dutp]	+	[HIPP]
RpoD	dxr[dxrp3]	+	[ICWHO]
RpoD	ebgAC[ebgAp]	+	[AIPP]
RpoD	eco[ecop5]	+	[ICWHO]
RpoD	ecpA[matBp5]	+	[ICWHO]
RpoD	ecpR[matAp7]	+	[ICWHO]
RpoD	ecpR[matAp9]	+	[ICWHO]
RpoD	ecpR[matAp10]	+	[ICWHO]
RpoD	edd-eda[eddp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	efeOB[efeOp1]	+	[ICWHO]
RpoD	efeU_1U_2[efeU_1p]	+	"[HIPP, TIM]"
RpoD	efp[efpp]	+	[HIPP]
RpoD	elaA[elaAp3]	+	[ICWHO]
RpoD	elaD[elaDp8]	+	[ICWHO]
RpoD	elfA[elfAp7]	+	[ICWHO]
RpoD	elfA[elfAp8]	+	[ICWHO]
RpoD	emtA[emtAp4]	+	[ICWHO]
RpoD	entCEBAH[entCp]	+	"[HIPP, IMP, TIM]"
RpoD	entD[entDp2]	+	[ICWHO]
RpoD	entS[entSp1]	+	"[HIPP, TIM]"
RpoD	entS[entSp2]	+	"[HIPP, TIM]"
RpoD	envR[envRp9]	+	[ICWHO]
RpoD	envR[envRp12]	+	[ICWHO]
RpoD	envR[envRp14]	+	[ICWHO]
RpoD	envR[envRp15]	+	[ICWHO]
RpoD	epmB[epmBp3]	+	[ICWHO]
RpoD	eptB[eptBp]	+	[TIM]
RpoD	eptC[yijPp9]	+	[ICWHO]
RpoD	erfK[erfKp4]	+	[ICWHO]
RpoD	esrE[esrEp]	+	[TIM]
RpoD	evgAS[evgAp2]	+	[TIM]
RpoD	exbBD[exbBp]	+	[HIPP]
RpoD	fabA[fabAp]	+	[HIPP]
RpoD	fabB[fabBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	fadBA[fadBp]	+	[TIM]
RpoD	fadD-sroD[fadDp]	+	[TIM]
RpoD	fadIJ[fadIp]	+	[AIPP]
RpoD	fadR[fadRp]	+	[TIM]
RpoD	fdhE[fdhEp1]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	fdnGHI[fdnGp]	+	"[RS-EPT-CBR, TIM]"
RpoD	fdrA-ylbE_1E_2F-ybcF[fdrAp4]	+	[ICWHO]
RpoD	feaB[feaBp1]	+	[TIM]
RpoD	feaB[feaBp2]	+	[TIM]
RpoD	feaR[feaRp1]	+	[TIM]
RpoD	feaR[feaRp2]	+	[TIM]
RpoD	feaR[feaRp3]	+	[TIM]
RpoD	fecE[fecEp5]	+	[ICWHO]
RpoD	fecIR[fecIp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoD	feoABC[feoAp]	+	[AIPP]
RpoD	fepA-entD[fepAp]	+	[TIM]
RpoD	fepB[fepBp]	+	"[HIPP, IMP, TIM]"
RpoD	fepDGC[fepDp2]	+	"[HIPP, TIM]"
RpoD	fepDGC[fepDp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	fes-ybdZ-entF-fepE[fesp]	+	[TIM]
RpoD	fetAB[ybbLp6]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	ffs[ffsp6]	+	[ICWHO]
RpoD	ffs[ffsp7]	+	[ICWHO]
RpoD	fhuACDB[fhuAp]	+	[AIPP]
RpoD	fhuF[fhuFp]	+	"[HTTIM, TIM]"
RpoD	fhuF[fhuFp2]	+	[HIPP]
RpoD	fieF[fieFp3]	+	[ICWHO]
RpoD	fieF[fieFp4]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	fimAICDFGH[fimAp]	+	"[HIPP, TIM]"
RpoD	fimB[fimBp1]	+	[TIM]
RpoD	fimE[fimEp]	+	"[HIPP, TIM]"
RpoD	fiu[fiup]	+	[HIPP]
RpoD	fixABCX[fixAp]	+	"[HIPP, TIM]"
RpoD	fldB[fldBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	flgAMN[flgAp]	+	[HIPP]
RpoD	flgBCDEFGHIJ[flgBp]	+	[HIPP]
RpoD	flhBAE[flhBp]	+	"[HIPP, TAS]"
RpoD	flhDC[flhDp]	+	[TIM]
RpoD	fliAZY[fliAp1]	+	"[RS-EPT-CBR, TIM]"
RpoD	fliDST[fliDp]	+	[HIPP]
RpoD	fliE[fliEp1]	+	[HIPP]
RpoD	fliFGHIJK[fliFp1]	+	[HIPP]
RpoD	fliLMNOPQR[fliLp1]	+	[TIM]
RpoD	flu[flup]	+	"[HIPP, TIM]"
RpoD	fnr[fnrp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	fnrS[fnrSp]	+	"[RS-EPT-CBR, TIM]"
RpoD	focA-pflB[focAp1]	+	"[HIPP, TIM]"
RpoD	focA-pflB[focAp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	focA-pflB[focAp3]	+	"[HIPP, TIM]"
RpoD	folA[folAp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	folB[folBp5]	+	[ICWHO]
RpoD	folE-yeiB[folEp]	+	[ICA]
RpoD	fpr[fprp]	+	[HIPP]
RpoD	frc[frcp]	+	"[HIPP, TIM]"
RpoD	frdD[frdDp7]	+	[ICWHO]
RpoD	frlABCDR[frlAp13]	+	[ICWHO]
RpoD	frr[frrp3]	+	[ICWHO]
RpoD	frr[frrp]	+	"[RS-EPT-CBR, TIM]"
RpoD	frsA[frsAp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	fruBKA[fruBp]	+	[AIPP]
RpoD	fsr[fsrp5]	+	[ICWHO]
RpoD	fsr[fsrp6]	+	[ICWHO]
RpoD	ftnA[ftnAp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	ftnB[ftnBp2]	+	"[HIPP, TIM]"
RpoD	ftsAZ[ftsAp1]	+	"[HIPP, TIM]"
RpoD	ftsH[ftsHp4]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	ftsK[ftsKp3]	+	[AIPP]
RpoD	ftsK[ftsKp1]	+	"[AIPP, TIM]"
RpoD	ftsK[ftsKp2]	+	"[HIPP, TIM]"
RpoD	fucAO[fucAp]	+	[AIPP]
RpoD	fucPIKUR[fucPp]	+	[NTAS]
RpoD	fumA[fumAp]	+	"[HIPP, TIM]"
RpoD	fumAC[fumAp]	+	"[HIPP, TIM]"
RpoD	fumB[fumBp]	+	[ICA]
RpoD	fumC[fumCp1]	+	"[HIPP, TAS]"
RpoD	fur[furpb]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	fur[furpa]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	gadE[gadEp2]	+	"[IEP, TIM]"
RpoD	gadE[gadEp3]	+	"[IEP, RS-EPT-CBR, TIM]"
RpoD	gadE-mdtEF[gadEp4]	+	"[HIPP, TIM]"
RpoD	galETKM[galEp2]	+	"[FP, TIM, CV(FP/TIM)]"
RpoD	galP[galPp]	+	"[HIPP, NTAS, RS-EPT-CBR, TIM]"
RpoD	galR[galRp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	galS[galSp]	+	"[HIPP, TIM]"
RpoD	gapA[gapAp3]	+	"[HIPP, TIM]"
RpoD	gapA[gapAp4]	+	"[HIPP, TIM]"
RpoD	garPLRK-rnpB[garPp]	+	"[AIPP, IC]"
RpoD	gatYZABCD[gatYp]	+	"[RS-EPT-CBR, TIM]"
RpoD	gcd[gcdp1]	+	"[HIPP, TIM]"
RpoD	gcl-hyi-glxR-ybbW-allB-ybbY-glxK[gclp]	+	[AIPP]
RpoD	gcvA[gcvAp]	+	"[HIPP, TIM]"
RpoD	gcvB[gcvBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	gcvR[gcvRp]	+	"[HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	gcvTHP[gcvTp]	+	[TIM]
RpoD	gdhA[gdhAp1]	+	"[HTTIM, HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	gfcD[gfcDp3]	+	[ICWHO]
RpoD	ghoST[yjdKp3]	+	[ICWHO]
RpoD	ghrA[ghrAp6]	+	[ICWHO]
RpoD	ghxP[yjcDp5]	+	[ICWHO]
RpoD	ghxP[yjcDp6]	+	[ICWHO]
RpoD	glcA[glcAp10]	+	[ICWHO]
RpoD	glcC[glcCp]	+	"[HIPP, TIM]"
RpoD	glcDEFGBA[glcDp]	+	"[HIPP, TIM]"
RpoD	glgAP[glgAp]	+	"[HIPP, TIM]"
RpoD	glgBXCAP[glgBp]	+	"[HIPP, TIM]"
RpoD	glgCAP[glgCp1]	+	[TIM]
RpoD	glmUS[glmUp1]	+	"[HIPP, TIM]"
RpoD	glmUS[glmUp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	glmY[glmYp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
