TF	TU	Function	Evidence that supports the existence of the regulatory interaction
CRP	fucAO[fucAp]	+	"[AIBSCS, GEA, IMP]"
CRP	fucPIKUR[fucPp]	+	"[AIBSCS, BPP, GEA, SM]"
CRP	fumA[fumAp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CRP	fumAC[fumAp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
CRP	fumC[fumCp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	fur[furpb]	+	"[HIBSCS, SM]"
CRP	fur[furpa]	+	"[HIBSCS, SM]"
CRP	gadAX[gadAp]	-	"[GEA, HIBSCS]"
CRP	gadBC[gadBp]	-	"[GEA, HIBSCS]"
CRP	gadE-mdtEF[gadEp]	-	"[BPP, HIBSCS]"
CRP	galETKM[galEp1]	+	"[GEA, HIBSCS, SM]"
CRP	galETKM[galEp2]	-	"[GEA, HIBSCS, SM]"
CRP	galP[galPp]	+	"[GEA, HIBSCS]"
CRP	galS[galSp]	+	"[AIBSCS, BCE, GEA, HIBSCS]"
CRP	gapA[gapAp3]	+	"[GEA, HIBSCS]"
CRP	gatYZABCD[gatYp]	+	"[AIBSCS, BCE, GEA, SM]"
CRP	gcd[gcdp1]	-	"[BPP, GEA, HIBSCS, SM]"
CRP	gcvTHP[gcvTp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	gdhA[gdhAp1]	-	[HIBSCS]
CRP	glcC[glcCp]	+	"[AIBSCS, GEA]"
CRP	glgCAP[glgCp1]	+	"[BPP, GEA]"
CRP	glgS[glgSp1]	+	"[GEA, HIBSCS]"
CRP	glnA[glnAp1]	+	[HIBSCS]
CRP	glnA[glnAp2]	-	"[AIBSCS, BPP, GEA]"
CRP	glnALG[glnAp1]	+	[HIBSCS]
CRP	glnALG[glnAp2]	-	"[AIBSCS, BPP, GEA]"
CRP	glpABC[glpABCp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	glpD[glpDp]	+	"[BPP, GEA, HIBSCS]"
CRP	glpEGR[glpEp]	+	"[BPP, GEA, HIBSCS]"
CRP	glpFKX[glpFp]	+	"[GEA, HIBSCS]"
CRP	glpTQ[glpTQp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	gltA[gltAp1]	+	"[AIBSCS, BCE, GEA]"
CRP	gltBDF[gltBp]	-	"[BPP, GEA, HIBSCS, SM]"
CRP	gntK[gntKp]	+	"[BCE, GEA, HIBSCS]"
CRP	gntKU[gntKp]	+	"[BCE, GEA, HIBSCS]"
CRP	gntP[gntPp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
CRP	gntT[gntTp3]	+	"[BPP, GEA, HIBSCS, SM, TASES]"
CRP	gntT[gntTp2]	+	"[BPP, GEA, HIBSCS, SM, TASES]"
CRP	gntT[gntTp1]	+	"[BPP, GEA, HIBSCS, SM, TASES]"
CRP	gntX-nfuA[gntXp]	+	[AIBSCS]
CRP	grcA[yfiDp]	+	"[AIBSCS, GEA]"
CRP	grpE[grpEp]	+	"[AIBSCS, GEA]"
CRP	guaBA[guaBp]	+	"[BPP, GEA, SM]"
CRP	gyrA[gyrAp]	+	[GEA]
CRP	hfq-hflXKC[hfqp3]	-	"[BPP, GEA, HIBSCS]"
CRP	hlyE[hlyEp]	+	"[BPP, GEA, SM]"
CRP	hofMNOP[hofMp]	+	"[AIBSCS, BPP]"
CRP	hpt[hptp]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	hupA[hupAp]	+	"[BPP, GEA]"
CRP	hupB[hupBp3]	+	"[BPP, GEA]"
CRP	hyfABCDEFGHIJR-focB[hyfAp]	+	"[GEA, HIBSCS]"
CRP	idnDOTR[idnDp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	idnK[idnKp]	+	"[AIBSCS, GEA, HIBSCS]"
CRP	ivbL[ivbLp]	+	"[BPP, HIBSCS]"
CRP	ivbL-ilvBN[ivbLp]	+	"[BPP, HIBSCS]"
CRP	kbaZ-agaVWA[kbaZp]	+	"[BPP, GEA, HIBSCS]"
CRP	lacZYA[lacZp3]	-	"[BPP, GEA, HIBSCS, SM]"
CRP	lacZYA[lacZp2]	-	"[BPP, GEA, HIBSCS, SM]"
CRP	lacZYA[lacZp1]	+	"[BPP, GEA, HIBSCS, SM]"
CRP	lpd[lpdAp]	-	"[AIBSCS, GEA]"
CRP	lsrACDBFG-tam[lsrAp]	+	"[BPP, GEA, HIBSCS, SM]"
