TF	TU	Function	Evidence that supports the existence of the regulatory interaction
Fis	gadAX[gadAp]	-	"[AIBSCS, GEA]"
Fis	gadBC[gadBp]	-	"[AIBSCS, GEA]"
Fis	glcC[glcCp]	-	"[AIBSCS, GEA]"
Fis	glnA[glnAp2]	+	"[AIBSCS, BPP, GEA]"
Fis	glnALG[glnAp2]	+	"[AIBSCS, BPP, GEA]"
Fis	glnQ[glnQp]	-	[GEA]
Fis	glpABC[glpABCp]	+	"[AIBSCS, GEA]"
Fis	glpTQ[glpTQp]	+	"[AIBSCS, GEA]"
Fis	gltX[gltXp3]	-	"[AIBSCS, BCE, BPP, HIBSCS, SM]"
Fis	glyU[glyUp]	+	[BCE]
Fis	grcA[yfiDp]	+	"[AIBSCS, GEA]"
Fis	guaBA[guaBp]	-	"[AIBSCS, BPP, SM]"
Fis	gyrA[gyrAp]	-	"[BPP, GEA, HIBSCS]"
Fis	gyrB[gyrBp]	-	"[BPP, GEA, HIBSCS]"
Fis	hlyE[hlyEp]	-	"[AIBSCS, GEA]"
Fis	hns[hnsp]	+	[BPP]
Fis	hupA[hupAp]	+	"[BPP, GEA]"
Fis	hupB[hupBp2]	-	"[BPP, GEA]"
Fis	hupB[hupBp3]	-	"[BPP, GEA]"
Fis	hyaABCDEF[hyaAp]	-	"[AIBSCS, GEA]"
Fis	katE[katEp]	-	"[AIBSCS, GEA]"
Fis	leuQPV[leuQp]	+	"[BCE, GEA, HIBSCS]"
Fis	leuX[leuXp]	+	[BCE]
Fis	lpd[lpdAp]	+	"[BCE, BPP]"
Fis	lysT-valT-lysW[lysTp]	+	[BCE]
Fis	malEFG[malEp]	+	"[AIBSCS, GEA]"
Fis	marRAB[marRp]	+	"[BPP, GEA, SM]"
Fis	mazEFG[mazEp1]	+	"[BPP, GEA, SM]"
Fis	mazEFG[mazEp2]	+	"[BPP, GEA, SM]"
Fis	metT-leuW-glnUW-metU-glnVX[metTp]	+	[BCE]
Fis	metY[metYp1]	+	[BCE]
Fis	metY-rimP-nusA-infB[metYp1]	+	[BCE]
Fis	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp1]	+	[BCE]
Fis	mglAC[mglAp]	-	[GEA]
Fis	msrA[msrAp]	-	"[AIBSCS, GEA]"
Fis	mtlADR[mtlAp]	-	"[AIBSCS, GEA]"
Fis	nanA[nanAp]	-	"[AIBSCS, GEA]"
Fis	nanATEK-yhcH[nanAp]	-	"[AIBSCS, GEA]"
Fis	narGHJI[narGp]	-	"[AIBSCS, GEA]"
Fis	narK[narKp1]	-	"[AIBSCS, GEA]"
Fis	ndh[ndhp]	+	"[BPP, HIBSCS, SM]"
Fis	nirBDC-cysG[nirBp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fis	nrdAB-yfaE[nrdAp]	+	"[BPP, GEA, HIBSCS, SM]"
Fis	nrfABCDEFG[nrfAp]	-	"[BPP, GEA]"
Fis	nuoABCEFGHIJKLMN[nuoAp1]	+	"[BPP, GEA, HIBSCS]"
Fis	ogt[ogtp]	-	[BPP]
Fis	osmE[osmEp]	-	[BPP]
Fis	osmY[osmYp]	-	"[AIBSCS, GEA]"
Fis	patA[patAp]	?	[AIBSCS]
Fis	pdxA-rsmA[pdxAp]	+	[GEA]
Fis	pdxA-rsmA-apaGH[pdxAp]	+	[GEA]
Fis	pflB[pflBp1]	-	"[AIBSCS, GEA]"
Fis	pheU[pheUp]	+	[BCE]
Fis	pheV[pheVp]	+	[BCE]
Fis	proK[proKp]	+	[BCE]
Fis	proL[proLp]	+	[BCE]
Fis	proP[proPp2]	+	"[BPP, HIBSCS, SM]"
Fis	ptsG[ptsGp1]	+-	"[BPP, GEA]"
Fis	ptsG[ptsGp2]	-	"[BPP, GEA]"
Fis	pyrD[pyrDp]	-	"[AIBSCS, GEA]"
Fis	queA[queAp]	+	"[BPP, GEA]"
Fis	rnpB[rnpBp]	+	"[BPP, GEA, HIBSCS]"
Fis	rplM-rpsI[rplMp]	-	"[AIBSCS, HIBSCS]"
Fis	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	+	"[BPP, GEA]"
Fis	rrsB-gltT-rrlB-rrfB[rrsBp1]	+	"[BPP, GEA]"
Fis	rrsC-gltU-rrlC-rrfC[rrsCp1]	+	"[BPP, GEA]"
Fis	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	+	"[BPP, GEA]"
Fis	rrsE-gltV-rrlE-rrfE[rrsEp]	+	"[BPP, GEA]"
Fis	rrsG-gltW-rrlG-rrfG[rrsGp1]	+	"[BPP, GEA]"
Fis	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	+	"[BPP, GEA]"
Fis	serT[serTp]	+	[BCE]
Fis	serX[serXp]	+	[BCE]
Fis	sra[srap]	+	[GEA]
Fis	ssrS[ssrSp1]	+	"[BPP, GEA]"
Fis	ssrS[ssrSp2]	-	"[BPP, GEA]"
Fis	ssrS-fau[ssrSp1]	+	"[BPP, GEA]"
Fis	ssrS-fau[ssrSp2]	-	"[BPP, GEA]"
Fis	thrU-tyrU-glyT-thrT-tufB[thrUp]	+	"[BPP, GEA, HIBSCS]"
Fis	thrW[thrWp]	+	[BCE]
Fis	topA[topAp1]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
Fis	topA[topAp4]	-	"[BPP, GEA, HIBSCS]"
Fis	trg[trgp1]	+	"[AIBSCS, GEA]"
Fis	trmA[trmAp]	+	[HIBSCS]
Fis	tyrTV-tpr[tyrTp]	+	"[AIBSCS, BCE, BPP, GEA]"
Fis	valUXY-lysV[valUp]	+	"[AIBSCS, BCE, BPP, HIBSCS, SM]"
Fis	xylFGHR[xylFp]	-	"[AIBSCS, GEA]"
Fis	yeaR-yoaG[yeaRp]	-	[BPP]
FlhDC	flgAMN[flgAp]	+	"[GEA, HIBSCS]"
FlhDC	flgBCDEFGHIJ[flgBp]	+	"[BPP, GEA, HIBSCS]"
FlhDC	flhBAE[flhBp]	+	"[BPP, GEA, HIBSCS]"
FlhDC	fliAZY[fliAp1]	+	"[BPP, GEA, HIBSCS, SM]"
FlhDC	fliDST[fliDp]	+	[HIBSCS]
FlhDC	fliE[fliEp1]	+	[HIBSCS]
FlhDC	fliFGHIJK[fliFp1]	+	[HIBSCS]
FlhDC	fliLMNOPQR[fliLp1]	+	"[BPP, GEA, HIBSCS]"
FlhDC	glpABC[glpABCp]	+	[GEA]
FlhDC	gltI-sroC-gltJKL[gltIp1]	+	"[BPP, GEA, HIBSCS]"
FlhDC	hydN-hypF[hydNp]	+	[GEA]
FlhDC	mdh[mdhp1]	-	[GEA]
FlhDC	mglBAC[mglBp]	-	[GEA]
FlhDC	napFDAGHBC-ccmABCDEFGH[napFp1]	+	[GEA]
FlhDC	napFDAGHBC-ccmABCDEFGH[napFp2]	+	[GEA]
FlhDC	nrfABCDEFG[nrfAp]	+	[GEA]
FlhDC	ppdAB-ygdB-ppdC-recC[ppdAp]	+	[GEA]
FlhDC	ycgR[ycgRp]	+	[GEA]
FlhDC	yecR[yecRp]	+	"[BPP, GEA, HIBSCS]"
FlhDC	ygbK[ygbKp]	+	[GEA]
FlhDC	yhjH[yhjHp]	+	[GEA]
FliZ	csgBAC[csgBp]	-	[GEA]
FliZ	csgDEFG[csgDp1]	-	"[BPP, GEA]"
FliZ	csgDEFG[csgDp2]	-	"[BPP, GEA]"
FliZ	flhDC[flhDp]	-	"[BPP, GEA]"
FliZ	gadBC[gadBp]	-	"[BPP, GEA]"
FliZ	gadE-mdtEF[gadEp]	-	"[BPP, GEA, SM]"
FliZ	gmr[gmrp]	-	"[BPP, GEA, SM]"
FliZ	hdeAB-yhiD[hdeAp]	-	"[BPP, GEA]"
FliZ	mlrA[mlrAp]	-	"[BPP, GEA, SM]"
FliZ	osmY[osmYp]	-	"[BPP, GEA]"
FucR	fucAO[fucAp]	+	"[GEA, IMP]"
FucR	fucPIKUR[fucPp]	+	[GEA]
Fur	aspC[aspCp]	-	[GEA]
Fur	cirA[cirAp2]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	cirA[cirAp1]	-	"[AIBSCS, BCE, BPP, GEA, HIBSCS]"
Fur	cyoABCDE[cyoAp]	-	"[AIBSCS, GEA]"
Fur	entCEBAH[entCp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	entS[entSp1]	+-	"[BPP, GEA, HIBSCS]"
Fur	exbBD[exbBp]	-	"[AIBSCS, BPP, HIBSCS]"
Fur	exbD[exbDp]	-	[HIBSCS]
Fur	fecABCDE[fecAp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	fecIR[fecIp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
Fur	feoABC[feoAp]	-	"[GEA, HIBSCS]"
Fur	fepA-entD[fepAp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	fepB[fepBp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
Fur	fepDGC[fepDp1]	-	"[BPP, GEA, HIBSCS]"
Fur	fes-ybdZ-entF-fepE[fesp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	fhuACDB[fhuAp]	-	"[BPP, GEA, HIBSCS]"
Fur	fhuE[fhuEp]	-	"[AIBSCS, HIBSCS]"
Fur	fhuF[fhuFp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	fiu[fiup]	-	[HIBSCS]
Fur	flhDC[flhDp]	-	[AIBSCS]
Fur	fnr[fnrp]	-	[GEA]
Fur	ftnA[ftnAp]	+	"[BPP, GEA, HIBSCS]"
Fur	fumB[fumBp]	+	[GEA]
Fur	fumC[fumCp]	-	[GEA]
Fur	fur[furpb]	-	"[BPP, HIBSCS]"
Fur	fur[furpa]	-	"[BPP, HIBSCS]"
Fur	garPLRK-rnpB[garPp]	-	"[BPP, HIBSCS]"
Fur	gdhA[gdhAp1]	+-	[GEA]
Fur	glnD[glnDp]	-	[GEA]
Fur	glnK-amtB[glnKp]	+-	[GEA]
Fur	gltBDF[gltBp]	-	[GEA]
Fur	gnd[gndp]	-	[GEA]
Fur	gpmA[gpmAp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	grcA[yfiDp]	-	[GEA]
Fur	gspCDEFGHIJKLMO[gspCp3]	-	"[BPP, HIBSCS]"
Fur	hmp[hmpAp]	-	"[AS, GEA, HIBSCS, IMP]"
Fur	katE[katEp]	+	[IEP]
Fur	katG[katGp]	+	[IEP]
Fur	lpd[lpdAp]	+-	[GEA]
Fur	metH[metHp]	-	[AIBSCS]
Fur	metJ[metJp2]	-	[AIBSCS]
Fur	mntH[mntHp]	-	"[AIBSCS, HIBSCS, IGI]"
Fur	mntP[mntPp]	+	[AIBSCS]
Fur	nac[nacp]	-	[GEA]
Fur	ndh[ndhp]	-	[GEA]
Fur	nohA-ydfN-tfaQ[nohAp]	-	"[BPP, GEA, HIBSCS]"
Fur	nrdHIEF[nrdHp]	-	"[AIBSCS, GEA]"
Fur	ompF[ompFp]	+	[GEA]
Fur	oppABCDF[oppAp]	-	"[BPP, HIBSCS]"
Fur	purR[purRp]	-	[AIBSCS]
Fur	pyrC[pyrCp]	-	"[BPP, GEA, HIBSCS]"
Fur	rcnAB[rcnAp]	-	"[AIBSCS, GEA, HIBSCS]"
Fur	rpoS[rpoSp]	-	"[GEA, IEP]"
Fur	ryhB[ryhBp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	sdhCDAB-sucABCD[sdhCp]	+	"[AIBSCS, GEA]"
Fur	sodA[sodAp]	-	"[BCE, BPP, GEA, HIBSCS]"
Fur	soxR[soxRp]	-	[GEA]
Fur	soxS[soxSp]	-	[GEA]
Fur	sufABCDSE[sufAp]	-	"[BPP, GEA, HIBSCS, SM]"
Fur	tonB[tonBp]	+	"[AIBSCS, BPP, HIBSCS, BCE]"
Fur	ygaC[ygaCp]	-	"[AIBSCS, GEA]"
Fur	yhhY[yhhYp]	-	"[AIBSCS, GEA, HIBSCS]"
Fur	yjjZ[yjjZp]	-	"[AIBSCS, BPP, GEA, HIBSCS]"
Fur	yqjH[yqjHp]	-	"[AIBSCS, GEA, HIBSCS]"
Fur	zinT[zinTp]	+	[GEA]
Fur	zwf[zwfp]	-	[GEA]
GadE	cyoABCDE[cyoAp]	+	[GEA]
GadE	fliC[fliCp]	+	[GEA]
GadE	gadBC[gadBp]	+	"[BPP, GEA, HIBSCS]"
GadE	gadE[gadEp1]	+	[GEA]
GadE	gadE-mdtEF[gadEp]	+	"[BPP, GEA, HIBSCS]"
GadE	gadX[gadXp]	+	"[BPP, GEA]"
GadE	gadXW[gadXp]	+	"[BPP, GEA]"
GadE	gltBDF[gltBp]	+	"[BPP, GEA]"
GadE	gnd[gndp]	+	[GEA]
GadE	hdeAB-yhiD[hdeAp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
GadE	hdeD[hdeDp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
GadE	hlpA-lpxD-fabZ-lpxA[hlpAp]	+	[GEA]
GadE	lrp[lrpp]	+	[GEA]
GadE	purA[purAp]	+	[GEA]
GadE	rcsA[rcsAp]	+	"[BPP, GEA]"
GadE-RcsB	adiC[adiCp7]	+	[BPP]
GadE-RcsB	aslB[aslBp]	+	[BPP]
GadE-RcsB	cadBA[cadBp]	+	"[BPP, GEA]"
GadE-RcsB	gadAX[gadAp]	+	"[BPP, GEA, HIBSCS, SM]"
GadE-RcsB	slp-dctR[slpp]	+	"[BPP, GEA]"
GadE-RcsB	yhiM[yhiMp]	+	[BPP]
GadW	gadAX[gadAp]	+-	"[BPP, GEA, HIBSCS]"
GadW	gadBC[gadBp]	+-	"[BPP, GEA, HIBSCS]"
GadW	gadE-mdtEF[gadEp]	+	"[AIBSCS, GEA, HIBSCS]"
GadW	gadW[gadWp2]	-	[GEA]
GadW	gadX[gadXp]	-	[GEA]
GadW	gadXW[gadXp]	-	[GEA]
GadW	gadY[gadYp]	-	[GEA]
GadW	hdeAB-yhiD[hdeAp]	+-	"[AIBSCS, BPP, GEA, HIBSCS]"
GadW	slp-dctR[slpp]	-	"[AIBSCS, GEA, HIBSCS]"
GadX	asnB[asnBp]	+	[GEA]
GadX	btuB-murI[btuBp]	-	"[BPP, GEA, HIBSCS]"
GadX	cadBA[cadBp]	+	[GEA]
GadX	gadAX[gadAp]	+	"[BPP, GEA, HIBSCS]"
GadX	gadBC[gadBp]	+	"[BPP, GEA, HIBSCS]"
GadX	gadE[gadEp2]	+	"[GEA, HIBSCS]"
GadX	gadE[gadEp3]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
GadX	gadE-mdtEF[gadEp]	+	"[GEA, HIBSCS]"
GadX	gadW[gadWp2]	-	[GEA]
GadX	gadX[gadXp]	+	[GEA]
GadX	gadXW[gadXp]	+	[GEA]
GadX	gadY[gadYp]	+	[GEA]
GadX	glnK-amtB[glnKp]	+	[GEA]
GadX	hdeAB-yhiD[hdeAp]	+-	"[AIBSCS, BPP, GEA, HIBSCS]"
GadX	hdeD[hdeDp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
GadX	hns[hnsp]	+	[GEA]
GadX	lon[lonp]	+	[GEA]
GadX	rpoS[rpoSp]	+	[GEA]
GadX	slp-dctR[slpp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
GadX	uspE[uspEp]	+	[GEA]
GadX	ybaST[ybaSp]	+	[GEA]
GalR	galETKM[galEp1]	-	"[BPP, GEA, HIBSCS, SM]"
GalR	galETKM[galEp2]	+-	"[BPP, GEA, HIBSCS, SM]"
GalR	galP[galPp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
GalR	galR[galRp]	-	"[BPP, GEA, HIBSCS]"
GalR	galS[galSp]	-	"[GEA, HIBSCS]"
GalR	mglBAC[mglBp]	-	"[GEA, HIBSCS]"
GalS	galETKM[galEp1]	-	"[BPP, GEA, HIBSCS]"
GalS	galETKM[galEp2]	+-	"[BPP, GEA, HIBSCS]"
GalS	galP[galPp]	-	"[AIBSCS, BPP, GEA, SM]"
GalS	galR[galRp]	-	"[GEA, HIBSCS]"
GalS	galS[galSp]	-	"[BCE, GEA]"
GalS	mglBAC[mglBp]	-	"[GEA, HIBSCS]"
GatR	gatYZABCD[gatYp]	-	[GEA]
GcvA	gcvA[gcvAp]	-	"[AIBSCS, BCE, BPP, GEA, HIBSCS, IC, SM]"
GcvA	gcvB[gcvBp]	+	"[AIBSCS, BCE, BPP, GEA, HIBSCS, IC, SM]"
GcvA	gcvTHP[gcvTp]	+-	"[BCE, BPP, GEA, HIBSCS, SM, IC]"
GlcC	glcC[glcCp]	-	"[BCE, GEA, SM]"
GlcC	glcDEFGBA[glcDp]	+	"[BCE, GEA, SM]"
GlpR	glpABC[glpABCp]	-	"[BPP, HIBSCS, SM]"
GlpR	glpD[glpDp]	-	"[BPP, GEA, HIBSCS, SM]"
GlpR	glpFKX[glpFp]	-	"[BPP, HIBSCS]"
GlpR	glpTQ[glpTQp]	-	"[BPP, GEA, HIBSCS, SM]"
GlrR	glmY[glmYp1]	+	"[BPP, GEA, HIBSCS, SM]"
GntR	edd-eda[eddp1]	-	"[BPP, HIBSCS, SM]"
GntR	gntK[gntKp]	-	"[BPP, GEA, HIBSCS, SM]"
GntR	gntKU[gntKp]	-	"[BPP, GEA, HIBSCS, SM]"
GntR	gntT[gntTp3]	-	"[AIBSCS, BPP, GEA, HIBSCS, TASES]"
GntR	gntT[gntTp2]	-	"[AIBSCS, BPP, GEA, HIBSCS, TASES]"
GntR	gntT[gntTp1]	-	"[AIBSCS, BPP, GEA, HIBSCS, TASES]"
GntR	gntX-nfuA[gntXp]	-	[AIBSCS]
GntR	idnDOTR[idnDp]	-	"[GEA, HIBSCS]"
GntR	idnK[idnKp]	-	"[GEA, HIBSCS]"
GutM	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[GEA]
H-NS	acrEF[acrEp]	-	[GEA]
H-NS	adeD[adep]	-	[GEA]
H-NS	adiA[adiAp]	-	[GEA]
H-NS	adiY[adiYp]	-	[BPP]
H-NS	appY[appYp]	-	"[BPP, GEA]"
H-NS	asr[asrp]	-	"[GEA, IMP]"
H-NS	bglG[bglGp]	-	"[BPP, GEA]"
H-NS	bglGFB[bglGp]	-	"[BPP, GEA]"
H-NS	bolA[bolAp1]	-	[GEA]
H-NS	cadBA[cadBp]	-	"[AIBSCS, BPP, GEA]"
H-NS	cadC[cadCp]	-	[BPP]
H-NS	caiF[caiFp]	-	[GEA]
H-NS	caiTABCDE[caiTp]	-	[IMP]
H-NS	casABCDE12[casp]	-	"[BPP, GEA]"
H-NS	chiA[chiAp]	-	"[BPP, GEA]"
H-NS	csiD-lhgO-gabDTP[csiDp]	+	[GEA]
H-NS	csiE[csiEp]	+	[GEA]
H-NS	cspD[cspDp]	+	[GEA]
H-NS	cydAB[cydAp3]	-	"[BPP, GEA]"
H-NS	cydAB[cydAp4]	-	"[BPP, GEA]"
H-NS	cydAB[cydAp1]	-	"[BPP, GEA]"
H-NS	cydAB[cydAp2]	-	"[BPP, GEA]"
H-NS	cysPUWAM[cysPp]	-	[GEA]
H-NS	degP[degPp]	-	[GEA]
H-NS	dps[dpsp]	-	"[BPP, GEA, HIBSCS]"
H-NS	evgAS[evgAp2]	-	[BPP]
H-NS	evgAS[evgAp1]	-	[BPP]
H-NS	fes-ybdZ-entF-fepE[fesp]	+	[GEA]
H-NS	fimAICDFGH[fimAp]	+	"[BPP, GEA]"
H-NS	fimB[fimBp1]	-	"[BPP, GEA]"
H-NS	fimB[fimBp2]	-	"[BPP, GEA]"
H-NS	fimE[fimEp]	-	"[BPP, GEA]"
H-NS	flhDC[flhDp]	+	"[BPP, GEA]"
H-NS	fliAZY[fliAp1]	+	"[GEA, IMP]"
H-NS	fliC[fliCp]	+	[GEA]
H-NS	ftnA[ftnAp]	-	"[BPP, GEA]"
H-NS	gadAX[gadAp]	-	"[BPP, GEA]"
H-NS	gadE-mdtEF[gadEp]	-	[BPP]
H-NS	gadW[gadWp2]	-	[BPP]
H-NS	gadX[gadXp]	-	"[BPP, GEA]"
H-NS	gadXW[gadXp]	-	"[BPP, GEA]"
H-NS	galETKM[galEp1]	-	[BPP]
H-NS	garPLRK-rnpB[garPp]	-	[GEA]
H-NS	gspAB[gspAp1]	-	"[BPP, GEA]"
H-NS	gspAB[gspAp2]	-	"[BPP, GEA]"
H-NS	gspCDEFGHIJKLMO[gspCp3]	-	"[BPP, GEA]"
H-NS	gspCDEFGHIJKLMO[gspCp2]	-	"[BPP, GEA]"
H-NS	hchA[hchAp]	-	"[BPP, GEA]"
H-NS	hchA[hchAp2]	-	"[BPP, GEA]"
H-NS	hdeAB-yhiD[hdeAp]	-	"[BPP, GEA, HIBSCS]"
H-NS	hdeD[hdeDp]	-	"[BPP, GEA]"
H-NS	hdfR[hdfRp]	-	[BPP]
H-NS	hisJQMP[hisJp]	+	[GEA]
H-NS	hlyE[hlyEp]	+-	"[BPP, GEA]"
H-NS	hns[hnsp]	-	"[BPP, GEA, HIBSCS]"
H-NS	ilvIH[ilvIHp1]	-	[GEA]
H-NS	lacZYA[lacZp1]	-	[BPP]
H-NS	leuO[leuOp]	-	"[GEA, HIBSCS]"
H-NS	leuO[leuOp2]	-	"[BPP, GEA, HIBSCS]"
H-NS	lrp[lrpp]	-	"[BPP, GEA]"
H-NS	micF[micFp]	-	[GEA]
H-NS	nhaAR[nhaAp1]	-	[GEA]
H-NS	nirBDC-cysG[nirBp]	-	"[BPP, GEA]"
H-NS	nrdAB-yfaE[nrdAp]	-	"[BPP, GEA, HIBSCS, SM]"
H-NS	nrdDG[nrdDp]	-	"[BPP, GEA]"
H-NS	osmC[osmCp1]	-	[GEA]
H-NS	osmC[osmCp2]	-	[GEA]
H-NS	proVWX[proVp1]	-	"[BPP, GEA]"
H-NS	proVWX[proVp3]	-	"[AIBSCS, BPP, GEA]"
H-NS	rcsA[rcsAp]	-	[GEA]
H-NS	rcsDB[rcsDp]	-	[BPP]
H-NS	relA-mazEF[relAp2]	+	[GEA]
H-NS	rrsB-gltT-rrlB-rrfB[rrsBp1]	-	[BPP]
H-NS	rrsC-gltU-rrlC-rrfC[rrsCp1]	-	[GEA]
H-NS	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	-	[GEA]
H-NS	rrsG-gltW-rrlG-rrfG[rrsGp1]	-	"[GEA, TAS]"
H-NS	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	-	[GEA]
H-NS	slp-dctR[slpp]	-	[BPP]
H-NS	smtA-mukFEB[smtAp]	+	[GEA]
H-NS	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[GEA]
H-NS	ssrS[ssrSp1]	-	"[BPP, GEA]"
H-NS	ssrS[ssrSp2]	-	"[BPP, GEA]"
H-NS	ssrS-fau[ssrSp1]	-	"[BPP, GEA]"
H-NS	ssrS-fau[ssrSp2]	-	"[BPP, GEA]"
H-NS	stpA[stpAp1]	-	"[BCE, BPP, GEA]"
H-NS	yciG[yciGp]	-	"[BPP, GEA, HIBSCS]"
H-NS	yciGFE[yciGp]	-	"[BPP, GEA, HIBSCS]"
H-NS	ydeO[ydeOp]	-	[BPP]
H-NS	ydeP[ydePp]	-	[BPP]
H-NS	yhiM[yhiMp]	-	[BPP]
H-NS	yjjP[yjjPp]	-	[BPP]
H-NS	yjjQ-bglJ[yjjQp]	-	[BPP]
HU	galETKM[galEp1]	-	"[BPP, GEA]"
HU	galETKM[galEp2]	-	"[BPP, GEA]"
HU	micF[micFp]	+	[GEA]
HU	mtr[mtrp2]	-	[GEA]
HU	seqA-pgm[seqAp]	-	[GEA]
HU	tyrP[tyrPp1]	-	[GEA]
HcaR	hcaEFCBD[hcaEp]	+	"[AIBSCS, BPP, GEA]"
HcaR	hcaR[hcaRp]	-	"[AIBSCS, BPP, GEA]"
HdfR	flhDC[flhDp]	-	"[BPP, GEA]"
HdfR	gltBDF[gltBp]	+	[BPP]
HipAB	hipBA[hipBp]	-	"[BPP, GEA, HIBSCS]"
HyfR	hyfABCDEFGHIJR-focB[hyfAp]	+	"[AIBSCS, GEA]"
HypT	cydAB[cydAp1]	+	"[BPP, GEA]"
HypT	cysH[cysHp]	+	[GEA]
HypT	fecABCDE[fecAp]	-	[GEA]
HypT	metBL[metBp]	+	[GEA]
HypT	metNIQ[metNp]	+	"[BPP, GEA]"
IHF	aceBAK[aceBp]	+	"[BPP, GEA]"
IHF	acs-yjcH-actP[acsp1]	-	"[BPP, GEA]"
IHF	acs-yjcH-actP[acsp2]	-	"[AIBSCS, BPP, GEA, SM]"
IHF	adiA[adiAp]	+	"[GEA, SM]"
IHF	amiA-hemF[amiAp]	-	[HIBSCS]
IHF	atoDAEB[atoDp]	+	"[GEA, HIBSCS, SM]"
IHF	carAB[carAp1]	+-	"[BCE, BPP, GEA, HIBSCS, SM]"
IHF	csgDEFG[csgDp1]	+	"[BPP, GEA]"
IHF	cysJIH[cysJp]	+	"[BPP, GEA]"
IHF	dcuD[dcuDp2]	+	[HIBSCS]
IHF	dmsABC[dmsAp2]	-	"[BPP, GEA, HIBSCS]"
IHF	dppABCDF[dppAp]	+	[BCE]
IHF	dps[dpsp]	+	[HIBSCS]
IHF	dusB-fis[dusBp]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	fimAICDFGH[fimAp]	+	"[GEA, HIBSCS]"
IHF	fimB[fimBp2]	+	"[BPP, HIBSCS, SM]"
IHF	flhDC[flhDp]	-	[HIBSCS]
IHF	fnr[fnrp]	+	"[BPP, GEA, SM]"
IHF	focA-pflB[focAp1]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
IHF	folA[folAp]	+	"[GEA, HIBSCS]"
IHF	gcd[gcdp1]	+	"[GEA, HIBSCS, SM]"
IHF	glcDEFGBA[glcDp]	+	"[BCE, GEA]"
IHF	glmY[glmYp1]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	glnHPQ[glnHp2]	+	"[BPP, HIBSCS, SM]"
IHF	glpTQ[glpTQp]	-	"[BPP, GEA, HIBSCS]"
IHF	gltA[gltAp1]	+	"[AIBSCS, BCE, GEA]"
IHF	gltBDF[gltBp]	+	"[BPP, GEA]"
IHF	hemA-prfA-prmC[hemAp1]	+	[GEA]
IHF	hemF[hemFp]	-	[HIBSCS]
IHF	hipBA[hipBp]	+	[HIBSCS]
IHF	hpt[hptp]	-	"[GEA, HIBSCS, SM]"
IHF	hycABCDEFGHI[hycAp]	+	"[BPP, GEA, HIBSCS]"
IHF	hypABCDE[hypAp]	+	"[BPP, GEA, HIBSCS]"
IHF	hypABCDE-fhlA[hypAp]	+	"[BPP, GEA, HIBSCS]"
IHF	ibpB[ibpBp]	+	[AIBSCS]
IHF	ihfA[ihfAp4]	-	"[BPP, HIBSCS]"
IHF	ihfB[ihfBp]	-	"[BPP, GEA]"
IHF	ilvL[ilvLp1]	-	"[BPP, GEA, HIBSCS, SM]"
IHF	ilvL[ilvLp2]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	ilvLXG_1G_2MEDA[ilvLp1]	-	"[BPP, GEA, HIBSCS, SM]"
IHF	ilvLXG_1G_2MEDA[ilvLp2]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	micF[micFp]	-	"[BCE, BPP, GEA, HIBSCS]"
IHF	mtr[mtrp2]	-	[GEA]
IHF	narGHJI[narGp]	+	"[BCE, BPP, GEA, HIBSCS]"
IHF	narK[narKp1]	+	"[BPP, GEA]"
IHF	ndh[ndhp]	-	"[BCE, BPP, GEA, HIBSCS]"
IHF	nirBDC-cysG[nirBp]	+	"[BPP, GEA, HIBSCS, BCE]"
IHF	nmpC[nmpCp]	-	"[HIBSCS, SM]"
IHF	norVW[norVp]	+	[BPP]
