TU	Gene
dgoRKADT	dgoR
dgoRKADT	dgoK
dgoRKADT	dgoA
dgoRKADT	dgoD
dgoRKADT	dgoT
dgt	dgt
dhaKLM	dhaK
dhaKLM	dhaL
dhaKLM	dhaM
dhaM	dhaM
dhaR	dhaR
diaA	diaA
dicA	dicA
dicB-ydfDE-insD-intQ	dicB
dicB-ydfDE-insD-intQ	ydfD
dicB-ydfDE-insD-intQ	ydfE
dicB-ydfDE-insD-intQ	insD
dicB-ydfDE-insD-intQ	intQ
dicC-ydfXW	dicC
dicC-ydfXW	ydfX
dicC-ydfXW	ydfW
dicF	dicF
dinB-yafNOP	dinB
dinB-yafNOP	yafN
dinB-yafNOP	yafO
dinB-yafNOP	yafP
yafNOP	yafN
yafNOP	yafO
yafNOP	yafP
dinD	dinD
dinG	dinG
dinI	dinI
dinJ-yafQ	dinJ
dinJ-yafQ	yafQ
dinQ	dinQ
dipZ-yjdC	dipZ
dipZ-yjdC	yjdC
yjdC	yjdC
djlA	djlA
dkgB	dkgB
dld	dld
dmlA	dmlA
dmlR	dmlR
dmsABC	dmsA
dmsABC	dmsB
dmsABC	dmsC
dnaAN-recF	dnaA
dnaAN-recF	dnaN
dnaAN-recF	recF
dnaN-recF	dnaN
dnaN-recF	recF
recF	recF
dnaB	dnaB
dnaK-tpke11-dnaJ	dnaK
dnaK-tpke11-dnaJ	tpke11
dnaK-tpke11-dnaJ	dnaJ
tpke11	tpke11
dnaQ	dnaQ
dnaX	dnaX
dosCP	dosC
dosCP	dosP
dosP	dosP
dpiBA	dpiB
dpiBA	dpiA
dppABCDF	dppA
dppABCDF	dppB
dppABCDF	dppC
dppABCDF	dppD
dppABCDF	dppF
dps	dps
dsbB	dsbB
dsbG	dsbG
dsdC	dsdC
dsdA	dsdA
dsdXA	dsdX
dsdXA	dsdA
dsrA	dsrA
dsrB	dsrB
dtpB	dtpB
dtpD	dtpD
dusA	dusA
dusB-fis	dusB
dusB-fis	fis
dusC	dusC
dut-slmA	dut
dut-slmA	slmA
dxr	dxr
eaeH-insEF-1E-1F-1	eaeH
eaeH-insEF-1E-1F-1	insEF-1
eaeH-insEF-1E-1F-1	insE-1
eaeH-insEF-1E-1F-1	insF-1
eamA	eamA
eamB	eamB
ebgAC	ebgA
ebgAC	ebgC
ebgR	ebgR
ecnAB	ecnA
ecnAB	ecnB
ecnB	ecnB
eco	eco
ecpA	ecpA
ecpBCDE	ecpB
ecpBCDE	ecpC
ecpBCDE	ecpD
ecpBCDE	ecpE
ecpR	ecpR
eda	eda
edd-eda	edd
edd-eda	eda
efeOB	efeO
efeOB	efeB
efeU_1U_2	efeU_1
efeU_1U_2	efeU_2
efp	efp
elaA	elaA
elaB	elaB
elaD	elaD
elbB-mtgA	elbB
elbB-mtgA	mtgA
mtgA	mtgA
elfA	elfA
elfDCG-ycbUVF	elfD
elfDCG-ycbUVF	elfC
elfDCG-ycbUVF	elfG
elfDCG-ycbUVF	ycbU
elfDCG-ycbUVF	ycbV
elfDCG-ycbUVF	ycbF
elyC	elyC
emrD	emrD
emrKY	emrK
emrKY	emrY
emrY	emrY
emtA	emtA
endA	endA
entCEBAH	entC
entCEBAH	entE
entCEBAH	entB
entCEBAH	entA
entCEBAH	entH
entH	entH
entS	entS
envR	envR
envY-ompT	envY
envY-ompT	ompT
ompT	ompT
epd-pgk	epd
epd-pgk	pgk
epd-pgk-fbaA	epd
epd-pgk-fbaA	pgk
epd-pgk-fbaA	fbaA
pgk	pgk
pgk-fbaA	pgk
pgk-fbaA	fbaA
epmA	epmA
epmB	epmB
eptA	eptA
eptB	eptB
eptC	eptC
erfK	erfK
erpA	erpA
esrE	esrE
essD-rrrD-rzpD	essD
essD-rrrD-rzpD	rrrD
essD-rrrD-rzpD	rzpD
essQ-ydfR-rrrQ-ydfP	essQ
essQ-ydfR-rrrQ-ydfP	ydfR
essQ-ydfR-rrrQ-ydfP	rrrQ
essQ-ydfR-rrrQ-ydfP	ydfP
ettA	ettA
eutBCLKR	eutB
eutBCLKR	eutC
eutBCLKR	eutL
eutBCLKR	eutK
eutBCLKR	eutR
eutHA	eutH
eutHA	eutA
eutNEJG	eutN
eutNEJG	eutE
eutNEJG	eutJ
eutNEJG	eutG
eutSPQTDM	eutS
eutSPQTDM	eutP
eutSPQTDM	eutQ
eutSPQTDM	eutT
eutSPQTDM	eutD
eutSPQTDM	eutM
evgAS	evgA
evgAS	evgS
exbBD	exbB
exbBD	exbD
exbD	exbD
exuR	exuR
exuT	exuT
fabA	fabA
fabB	fabB
fabI	fabI
fabR-yijD	fabR
fabR-yijD	yijD
fadBA	fadB
fadBA	fadA
fadD-sroD	fadD
fadD-sroD	sroD
fadE	fadE
fadH	fadH
fadIJ	fadI
fadIJ	fadJ
fadL	fadL
fadM	fadM
fadR	fadR
fbaB	fbaB
fbp	fbp
fdhD	fdhD
fdhF	fdhF
fdnGHI	fdnG
fdnGHI	fdnH
fdnGHI	fdnI
fdhE	fdhE
fdoGHI-fdhE	fdoG
fdoGHI-fdhE	fdoH
fdoGHI-fdhE	fdoI
fdoGHI-fdhE	fdhE
fdrA-ylbE_1E_2F-ybcF	fdrA
fdrA-ylbE_1E_2F-ybcF	ylbE_1
fdrA-ylbE_1E_2F-ybcF	ylbE_2
fdrA-ylbE_1E_2F-ybcF	ylbF
fdrA-ylbE_1E_2F-ybcF	ybcF
feaB	feaB
feaR	feaR
fecABCDE	fecA
fecABCDE	fecB
fecABCDE	fecC
fecABCDE	fecD
fecABCDE	fecE
fecE	fecE
fecIR	fecI
fecIR	fecR
feoABC	feoA
feoABC	feoB
feoABC	feoC
feoC	feoC
entD	entD
fepA-entD	fepA
fepA-entD	entD
fepB	fepB
fepDGC	fepD
fepDGC	fepG
fepDGC	fepC
fes-ybdZ-entF-fepE	fes
fes-ybdZ-entF-fepE	ybdZ
fes-ybdZ-entF-fepE	entF
fes-ybdZ-entF-fepE	fepE
fetAB	fetA
fetAB	fetB
ffh	ffh
ffs	ffs
fhuACDB	fhuA
fhuACDB	fhuC
fhuACDB	fhuD
fhuACDB	fhuB
fhuE	fhuE
fhuF	fhuF
fieF	fieF
fimAICDFGH	fimA
fimAICDFGH	fimI
fimAICDFGH	fimC
fimAICDFGH	fimD
fimAICDFGH	fimF
fimAICDFGH	fimG
fimAICDFGH	fimH
fimB	fimB
fimE	fimE
fimZ	fimZ
fiu	fiu
fixABCX	fixA
fixABCX	fixB
fixABCX	fixC
fixABCX	fixX
fklB	fklB
fkpA	fkpA
fldA-uof-fur	fldA
fldA-uof-fur	uof
fldA-uof-fur	fur
