Operon	TU
mdfA	mdfA
rybB	rybB
ybjM	ybjM
ybjL	ybjL
ybjM	ybjM
ybjL	ybjL
grxA	grxA
ybjC-nfsA-rimK-ybjN	ybjC-nfsA-rimK-ybjN
ybjC-nfsA-rimK-ybjN	rimK-ybjN
potFGHI	potFGHI
potFGHI	potFGHI
ybjO-rlmC	ybjO-rlmC
ybjO-rlmC	ybjO-rlmC
artJ	artJ
artPIQM	artPIQM
artPIQM	artPIQM
artPIQM	artPIQM
artPIQM	artPIQM
ybjQ-amiD	ybjQ-amiD
ybjP	ybjP
ybjS	ybjS
poxB-ltaE-ybjT	ltaE-ybjT
poxB-ltaE-ybjT	poxB
hcp-hcr	hcr
hcp-hcr	hcp-hcr
hcp-hcr	hcp-hcr
ybjE	ybjE
ybjE	ybjE
aqpZ	aqpZ
aqpZ	aqpZ
ybjX	ybjX
macAB	macB
macAB	macB
cspD	cspD
clpS	clpS
clpS	clpS
clpA	clpA
clpA	clpA
clpA	clpA
serW	serW
infA	infA
infA	infA
aat	aat
cydDC	cydC
cydDC	cydDC
trxB	trxB
lrp	lrp
ftsK	ftsK
ftsK	ftsK
ftsK	ftsK
lolA-rarA	lolA-rarA
serS	serS
dmsABC	dmsABC
dmsABC	dmsABC
ycaD	ycaD
ycaD	ycaD
ycaM	ycaM
ycaM	ycaM
ycaM	ycaM
ycaM	ycaM
ycaK	ycaK
ycaK	ycaK
ycaK	ycaK
pflA	pflA
focA-pflB	pflB
focA-pflB	pflB
focA-pflB	pflB
focA-pflB	pflB
focA-pflB	pflB
focA-pflB	focA-pflB
focA-pflB	focA-pflB
focA-pflB	focA-pflB
serC-aroA	serC
serC-aroA	serC-aroA
ycaL	ycaL
ycaL	ycaL
ycaL	ycaL
ycaL	ycaL
cmk-rpsA-ihfB	cmk-rpsA
cmk-rpsA-ihfB	rpsA-ihfB
cmk-rpsA-ihfB	rpsA-ihfB
cmk-rpsA-ihfB	ihfB
ycaI-msbA-lpxK-ycaQ	ycaI-msbA-lpxK-ycaQ
ycaI-msbA-lpxK-ycaQ	ycaI-msbA-lpxK-ycaQ
ycaI-msbA-lpxK-ycaQ	ycaI-msbA-lpxK-ycaQ
ycaR-kdsB	ycaR-kdsB
ycbJ	ycbJ
smtA-mukFEB	smtA-mukFEB
ycbB	ycbB
ycbKL	ycbKL
aspC	aspC
ompF	ompF
asnS	asnS
pncB	pncB
pepN	pepN
ssuEADCB	ssuB
ssuEADCB	ssuEADCB
elfA	elfA
elfA	elfA
elfA	elfA
elfDCG-ycbUVF	elfDCG-ycbUVF
pyrD	pyrD
zapC	zapC
zapC	zapC
rlmL-uup	rlmL-uup
pqiAB	pqiAB
pqiAB	pqiAB
rmf	rmf
rmf	rmf
rmf	rmf
fabA	fabA
matP	matP
ycbZ	ycbZ
ompA	ompA
ompA	ompA
sulA	sulA
yccFS	yccS
yccFS	yccS
yccFS	yccFS
helD	helD
mgsA	mgsA
yccT	yccT
yccT	yccT
yccX	yccX
yccX	yccX
rlmI	rlmI
yccX	yccX
yccA	yccA
serT	serT
hyaABCDEF	hyaABCDEF
appCBXA	appCBXA
appCBXA	appA
gfcE-etp-etk	etk
gfcBCD	gfcD
gfcA	gfcA
cspH	cspH
cspH	cspH
cspH	cspH
cspH	cspH
cspG	cspG
cspH	cspH
cspH	cspH
cspH	cspH
ymcE-gnsA	ymcE-gnsA
torS	torS
torT	torT
torT	torT
