TU	Promoter
dxr	dxrp3
dxr	dxrp4
dxr	dxrp5
ebgAC	ebgAp
ebgR	ebgRp
ecnB	ecnBp
eco	ecop5
eco	ecop7
eda	edap1
eda	edap2
eda	edap3
edd-eda	eddp1
efeOB	efeOp1
efeOB	efeOp2
efeU_1U_2	efeU_1p
efp	efpp
elaA	elaAp3
elaA	elaAp4
elaB	elaBp
elaD	elaDp8
elfA	elfAp6
elfA	elfAp7
elfA	elfAp8
elfDCG-ycbUVF	elfDp1
emrD	emrDp
emrKY	emrKp
emrY	emrYp1
emtA	emtAp4
endA	endAp1
endA	endAp2
eno	enop1
eno	enop2
eno	enop3
eno	enop4
eno	enop6
eno	enop7
entCEBAH	entCp
entD	entDp1
entD	entDp2
entS	entSp1
entS	entSp2
envR	envRp11
envR	envRp12
envR	envRp13
envR	envRp14
envR	envRp15
envR	envRp9
epd-pgk	epdp
epd-pgk-fbaA	epdp
epmA	epmAp
epmB	epmBp3
eptB	eptBp
erfK	erfKp4
erpA	erpAp
esrE	esrEp
essD-rrrD-rzpD	essDp
etk	etkp1
evgAS	evgAp1
evgAS	evgAp2
exbBD	exbBp
exbD	exbDp
exuR	exuRp
exuT	exutP1
exuT	exuTp2
fabA	fabAp
fabB	fabBp
fabHDG	fabHp
fabI	fabIp1
fadBA	fadBp
fadD-sroD	fadDp
fadE	fadEp
fadH	fadHp
fadIJ	fadIp
fadL	fadLp
fadM	fadMp1
fadR	fadRp
fadR	fadRp2
fbaB	fbaBp
fdhE	fdhEp1
fdhF	fdhFp
fdnGHI	fdnGp
fdrA-ylbE_1E_2F-ybcF	fdrAp4
feaB	feaBp1
feaB	feaBp2
feaR	feaRp
feaR	feaRp1
feaR	feaRp2
feaR	feaRp3
fecABCDE	fecAp
fecE	fecEp3
fecE	fecEp4
fecE	fecEp5
fecIR	fecIp
feoABC	feoAp
fepA-entD	fepAp
fepB	fepBp
fepDGC	fepDp1
fepDGC	fepDp2
fes-ybdZ-entF-fepE	fesp
ffh	ffhp
ffs	ffsp5
ffs	ffsp6
ffs	ffsp7
fhuACDB	fhuAp
fhuE	fhuEp
fhuF	fhuFp
fhuF	fhuFp2
fic	ficp
fieF	fieFp3
fieF	fieFp4
fimAICDFGH	fimAp
fimB	fimBp1
fimB	fimBp2
fimB	fimBp3
fimE	fimEp
fimZ	fimZp3
fiu	fiup
fixABCX	fixAp
fkpA	fkpAp1
fkpA	fkpAp2
fldA-uof-fur	fldAp
fldB	fldBp
flgAMN	flgAp
flgBCDEFGHIJ	flgBp
flgKL	flgKp
flgMN	flgMp
flgN	flgNp1
flhBAE	flhBp
flhC	flhCp3
flhDC	flhDp
flhDC	flhDp2
fliAZY	fliAp1
fliAZY	fliAp2
fliC	fliCp
fliDST	fliDp
fliDST	fliDp1
fliE	fliEp
fliE	fliEp1
fliFGHIJK	fliFp
fliFGHIJK	fliFp1
fliLMNOPQR	fliLp1
fliLMNOPQR	fliLp2
fliY	fliYp
flk	flKp
flu	flup
flu	flup1
flu	flup2
flxA	flxAp
fnr	fnrp
fnrS	fnrSp
focA-pflB	focAp1
focA-pflB	focAp2
focA-pflB	focAp3
folA	folAp
folB	folBp5
folD-ybcJ	folDp
folE-yeiB	folEp
folX-yfcH	folXp
fpr	fprp
frc	frcp
frdABCD	frdAp
frdD	frdDp1
frdD	frdDp2
frdD	frdDp7
fre	frep1
fre	frep2
frlABCDR	frlAp13
frlABCDR	frlAp17
frlABCDR	frlAp5
frr	frrp
frr	frrp3
frr	frrp6
frsA	frsAp
fruBKA	fruBp
cra	fruRp8
frvR	frvRp4
fryA	fryAp6
fsaA	fsaAp6
fsr	fsrp5
fsr	fsrp6
fsr	fsrp8
fsr	fsrp9
ftnA	ftnAp
ftnB	ftnBp
ftnB	ftnBp2
ftsAZ	ftsAp1
ftsB	ftsBp
ftsH	ftsHp1
ftsH	ftsHp4
ftsK	ftsKp1
ftsK	ftsKp2
ftsK	ftsKp3
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp1
