TU	BindingSite
csgDEFG	ECK120016233
csgDEFG	ECK120016235
csgDEFG	ECK125110235
csgDEFG	ECK120016237
csgBAC	ECK125141167
csgDEFG	ECK120016239
csgDEFG	ECK125110233
csgDEFG	ECK125110231
csgDEFG	ECK120016241
csgDEFG	ECK125110229
csgDEFG	ECK125110227
csgDEFG	ECK125110225
csgDEFG	ECK125110223
csgDEFG	ECK125110221
csgDEFG	ECK125110219
csgBAC	ECK125141169
csgBAC	ECK120011322
ycfS	ECK120029874
dgcZ	ECK120029880
spy	ECK120029639
yebE	ECK120029878
motAB-cheAW	ECK120016120
ftnB	ECK120029884
mdtABCD-baeSR	ECK120019268
mdtABCD-baeSR	ECK125141177
ompC	ECK120016466
ompC	ECK120016468
ompC	ECK120016470
acrD	ECK125141175
acrD	ECK125141173
acrD	ECK125141171
rpoE-rseABC	ECK120016801
ung	ECK120015590
bamE	ECK120012502
dsbC	ECK125141179
dsbC	ECK120017108
bacA	ECK120012504
yqjA-mzrA	ECK120029886
ppiA	ECK120011218
yidQ	ECK120017107
yidQ	ECK125141183
yidQ	ECK125141181
rdoA-dsbA	ECK120011214
cpxP	ECK120016114
cpxRA	ECK120016114
cpxRA	ECK120016186
cpxP	ECK120016186
cpxP	ECK120016116
psd-mscM	ECK120012506
tsr	ECK120016123
acnA	ECK120011222
acnB	ECK120011222
poxB	ECK120011222
betT	ECK120011222
betIBA	ECK120011222
sgrST-setA	ECK125134869
aroP	ECK120048912
aroP	ECK120048912
pdhR-aceEF-lpd	ECK120048912
yahA	ECK125145873
yahA	ECK125141985
prpBCDE	ECK125134872
cyoABCDE	ECK125134874
cydAB	ECK125141987
cydAB	ECK125141988
csgDEFG	ECK125140726
csgDEFG	ECK125140728
csgDEFG	ECK125140730
csgDEFG	ECK125140732
icd	ECK120013384
adhE	ECK120013299
marRAB	ECK125134876
pykF	ECK120013645
ppsA	ECK120048991
gapA	ECK125141986
gapA-yeaD	ECK125141986
gapA	ECK125141986
gapA	ECK125141986
gapA-yeaD	ECK120030366
gapA	ECK120030366
gapA	ECK120030366
gapA	ECK120030366
manXYZ	ECK120048915
edd-eda	ECK120013774
zwf	ECK125134878
fbaB	ECK125134880
fruBKA	ECK125134888
fruBKA	ECK125134940
glk	ECK120015594
ptsHI-crr	ECK120013568
ptsHI-crr	ECK120013568
hypF	ECK125145807
hypF	ECK125145807
eno	ECK125141984
eno	ECK125141984
eno	ECK125141984
eno	ECK125145869
eno	ECK125145869
eno	ECK125145869
epd-pgk	ECK120013776
epd-pgk-fbaA	ECK120013776
glcC	ECK125134882
nirBDC-cysG	ECK120014095
pck	ECK120014083
mtlADR	ECK120013778
gpmM-envC-yibQ	ECK125134884
pfkA	ECK120014161
tpiA	ECK125134890
ppc	ECK125134886
aceBAK	ECK120013116
mpl	ECK125134892
talA	ECK125141196
malEFG	ECK125141194
creD	ECK120035004
iraP	ECK120011222
pepD	ECK120026344
adrA	ECK120026342
adrA	ECK120026340
yccT	ECK125135171
wrbA-yccJ	ECK125135189
wrbA-yccJ	ECK125135214
wrbA-yccJ	ECK125135216
csgDEFG	ECK125135181
csgDEFG	ECK125135179
csgDEFG	ECK125135252
csgDEFG	ECK125135183
csgBAC	ECK125135177
csgBAC	ECK125135175
csgBAC	ECK120026348
csgBAC	ECK125135173
fliFGHIJK	ECK125135165
fliE	ECK125135165
fliE	ECK125135165
fliFGHIJK	ECK125135163
fliE	ECK125135163
fliE	ECK125135163
yhbTS	ECK125135159
yhbTS	ECK125135161
nlpA	ECK125135187
nlpA	ECK125135185
csiD-lhgO-gabDTP	ECK120011222
hns	ECK120011222
gyrA	ECK120030311
gyrA	ECK120030319
gyrA	ECK120030321
cueO	ECK120015187
copA	ECK120015185
moaABCDE	ECK120015256
cusCFBA	ECK120011943
cusRS	ECK120011943
cynTS	ECK120030287
cynTSX	ECK120030287
cynR	ECK120030287
cynTS	ECK120013068
cynTSX	ECK120013068
cynR	ECK120013068
cbl	ECK120011222
tauABCD	ECK120013744
tauABCD	ECK120013746
tauABCD	ECK120013748
ssuEADCB	ECK120017021
cysB	ECK120012919
hslJ	ECK120029888
cysK	ECK120012923
cysPUWAM	ECK120013073
cysDNC	ECK120013075
cysJIH	ECK120012921
nupC	ECK120011222
tsx	ECK120013543
tsx	ECK120013448
tsx	ECK125108595
ycdZ	ECK125158213
cdd	ECK125108592
cdd	ECK120013655
nupG	ECK120013444
nupG	ECK125108637
nupG	ECK125108639
ppiA	ECK120013485
ppiA	ECK120013485
ppiA	ECK120013485
ppiA	ECK125108597
ppiA	ECK125108597
ppiA	ECK125108597
rpoH	ECK120013396
rpoH	ECK120013396
