TU	Gene
ddpXABCDF	ddpX,ddpA,ddpB,ddpC,ddpD,ddpF
ddpXABCDF	ddpX,ddpA,ddpB,ddpC,ddpD,ddpF
ddpXABCDF	ddpX,ddpA,ddpB,ddpC,ddpD,ddpF
def-fmt	def,fmt
degP	degP
degQS	degQ,degS
deoABD	deoA,deoB,deoD
deoBD	deoB,deoD
deoCABD	deoC,deoA,deoB,deoD
deoCABD	deoC,deoA,deoB,deoD
deoR	deoR
dfp	dfp
dgcZ	dgcZ
dgkA	dgkA
dgkA	dgkA
dgoRKADT	dgoR,dgoK,dgoA,dgoD,dgoT
dgt	dgt
dgt	dgt
dhaKLM	dhaK,dhaL,dhaM
dhaM	dhaM
dhaR	dhaR
diaA	diaA
dicA	dicA
dicB-ydfDE-insD-intQ	dicB,ydfD,ydfE,insD,intQ
dicC-ydfXW	dicC,ydfX,ydfW
dicF	dicF
dinB-yafNOP	dinB,yafN,yafO,yafP
yafNOP	yafN,yafO,yafP
dinD	dinD
dinG	dinG
dinI	dinI
dinJ-yafQ	dinJ,yafQ
dinQ	dinQ
dipZ-yjdC	dipZ,yjdC
yjdC	yjdC
djlA	djlA
dkgB	dkgB
dld	dld
dld	dld
dmlA	dmlA
dmlR	dmlR
dmsABC	dmsA,dmsB,dmsC
dmsABC	dmsA,dmsB,dmsC
dnaAN-recF	dnaA,dnaN,recF
dnaAN-recF	dnaA,dnaN,recF
dnaN-recF	dnaN,recF
dnaN-recF	dnaN,recF
dnaN-recF	dnaN,recF
dnaN-recF	dnaN,recF
recF	recF
recF	recF
dnaB	dnaB
dnaK-tpke11-dnaJ	dnaK,tpke11,dnaJ
dnaK-tpke11-dnaJ	dnaK,tpke11,dnaJ
dnaK-tpke11-dnaJ	dnaK,tpke11,dnaJ
tpke11	tpke11
dnaQ	dnaQ
dnaQ	dnaQ
dnaQ	dnaQ
dnaX	dnaX
dosCP	dosC,dosP
dosP	dosP
dpiBA	dpiB,dpiA
dpiBA	dpiB,dpiA
dppABCDF	dppA,dppB,dppC,dppD,dppF
dps	dps
dsbB	dsbB
dsbG	dsbG
dsdC	dsdC
dsdA	dsdA
dsdXA	dsdX,dsdA
dsrA	dsrA
dsrB	dsrB
dtpB	dtpB
dtpD	dtpD
dtpD	dtpD
dtpD	dtpD
dusA	dusA
dusA	dusA
dusB-fis	dusB,fis
dusC	dusC
dut-slmA	dut,slmA
dxr	dxr
dxr	dxr
dxr	dxr
dxr	dxr
eaeH-insEF-1E-1F-1	eaeH,insEF-1,insE-1,insF-1
eamA	eamA
eamB	eamB
ebgAC	ebgA,ebgC
ebgR	ebgR
ecnAB	ecnA,ecnB
ecnB	ecnB
eco	eco
eco	eco
ecpA	ecpA
ecpBCDE	ecpB,ecpC,ecpD,ecpE
ecpBCDE	ecpB,ecpC,ecpD,ecpE
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
ecpR	ecpR
eda	eda
eda	eda
eda	eda
edd-eda	edd,eda
efeOB	efeO,efeB
efeOB	efeO,efeB
efeU_1U_2	efeU_1,efeU_2
efp	efp
elaA	elaA
elaA	elaA
elaB	elaB
elaD	elaD
elbB-mtgA	elbB,mtgA
mtgA	mtgA
elfA	elfA
elfA	elfA
elfA	elfA
elfDCG-ycbUVF	elfD,elfC,elfG,ycbU,ycbV,ycbF
elyC	elyC
emrD	emrD
emrKY	emrK,emrY
emrY	emrY
emtA	emtA
endA	endA
endA	endA
entCEBAH	entC,entE,entB,entA,entH
entH	entH
entS	entS
entS	entS
envR	envR
envR	envR
envR	envR
envR	envR
envR	envR
envR	envR
envY-ompT	envY,ompT
ompT	ompT
epd-pgk	epd,pgk
epd-pgk-fbaA	epd,pgk,fbaA
pgk	pgk
pgk	pgk
pgk	pgk
pgk-fbaA	pgk,fbaA
pgk-fbaA	pgk,fbaA
pgk-fbaA	pgk,fbaA
epmA	epmA
epmB	epmB
eptA	eptA
eptB	eptB
eptC	eptC
erfK	erfK
erpA	erpA
esrE	esrE
essD-rrrD-rzpD	essD,rrrD,rzpD
essQ-ydfR-rrrQ-ydfP	essQ,ydfR,rrrQ,ydfP
ettA	ettA
eutBCLKR	eutB,eutC,eutL,eutK,eutR
eutHA	eutH,eutA
eutNEJG	eutN,eutE,eutJ,eutG
eutSPQTDM	eutS,eutP,eutQ,eutT,eutD,eutM
evgAS	evgA,evgS
evgAS	evgA,evgS
exbBD	exbB,exbD
exbD	exbD
exuR	exuR
exuT	exuT
exuT	exuT
fabA	fabA
fabB	fabB
fabI	fabI
fabR-yijD	fabR,yijD
fadBA	fadB,fadA
fadD-sroD	fadD,sroD
fadE	fadE
fadH	fadH
fadIJ	fadI,fadJ
fadL	fadL
fadM	fadM
fadR	fadR
fadR	fadR
fbaB	fbaB
fbp	fbp
fdhD	fdhD
fdhF	fdhF
fdnGHI	fdnG,fdnH,fdnI
fdhE	fdhE
fdoGHI-fdhE	fdoG,fdoH,fdoI,fdhE
fdrA-ylbE_1E_2F-ybcF	fdrA,ylbE_1,ylbE_2,ylbF,ybcF
feaB	feaB
feaB	feaB
feaR	feaR
feaR	feaR
feaR	feaR
feaR	feaR
fecABCDE	fecA,fecB,fecC,fecD,fecE
fecE	fecE
fecE	fecE
fecE	fecE
fecIR	fecI,fecR
feoABC	feoA,feoB,feoC
feoC	feoC
entD	entD
entD	entD
fepA-entD	fepA,entD
fepB	fepB
fepDGC	fepD,fepG,fepC
fepDGC	fepD,fepG,fepC
fes-ybdZ-entF-fepE	fes,ybdZ,entF,fepE
fetAB	fetA,fetB
fetAB	fetA,fetB
ffh	ffh
ffs	ffs
ffs	ffs
ffs	ffs
fhuACDB	fhuA,fhuC,fhuD,fhuB
fhuE	fhuE
fhuF	fhuF
fhuF	fhuF
fieF	fieF
fieF	fieF
fimAICDFGH	fimA,fimI,fimC,fimD,fimF,fimG,fimH
fimB	fimB
fimB	fimB
fimB	fimB
fimE	fimE
fimZ	fimZ
fiu	fiu
fixABCX	fixA,fixB,fixC,fixX
fklB	fklB
fkpA	fkpA
fkpA	fkpA
fldA-uof-fur	fldA,uof,fur
fur	fur
fur	fur
uof-fur	uof,fur
fldB	fldB
flgAMN	flgA,flgM,flgN
flgMN	flgM,flgN
flgN	flgN
flgBCDEFGHIJ	flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ
flgKL	flgK,flgL
flhBAE	flhB,flhA,flhE
flhC	flhC
flhDC	flhD,flhC
flhDC	flhD,flhC
fliAZY	fliA,fliZ,fliY
fliAZY	fliA,fliZ,fliY
fliY	fliY
fliC	fliC
fliDST	fliD,fliS,fliT
fliDST	fliD,fliS,fliT
fliE	fliE
fliE	fliE
fliFGHIJK	fliF,fliG,fliH,fliI,fliJ,fliK
fliFGHIJK	fliF,fliG,fliH,fliI,fliJ,fliK
fliLMNOPQR	fliL,fliM,fliN,fliO,fliP,fliQ,fliR
fliLMNOPQR	fliL,fliM,fliN,fliO,fliP,fliQ,fliR
flk	flk
flu	flu
flu	flu
flu	flu
flxA	flxA
fnr	fnr
fnrS	fnrS
focA-pflB	focA,pflB
focA-pflB	focA,pflB
focA-pflB	focA,pflB
pflB	pflB
pflB	pflB
pflB	pflB
pflB	pflB
pflB	pflB
folA	folA
folB	folB
dedD	dedD
dedD	dedD
folC-dedD	folC,dedD
folD-ybcJ	folD,ybcJ
ybcJ	ybcJ
ybcJ	ybcJ
ybcJ	ybcJ
ybcJ	ybcJ
folE-yeiB	folE,yeiB
yeiB	yeiB
folP-glmM	folP,glmM
folX-yfcH	folX,yfcH
fpr	fpr
frdABCD	frdA,frdB,frdC,frdD
frdD	frdD
frdD	frdD
frdD	frdD
fre	fre
fre	fre
frlABCDR	frlA,frlB,frlC,frlD,frlR
frlABCDR	frlA,frlB,frlC,frlD,frlR
frlABCDR	frlA,frlB,frlC,frlD,frlR
frmRAB	frmR,frmA,frmB
frr	frr
frr	frr
frr	frr
frsA	frsA
fruBKA	fruB,fruK,fruA
frvABXR	frvA,frvB,frvX,frvR
frvR	frvR
frwCB	frwC,frwB
frwD	frwD
fryA	fryA
fryBC-ypdFE-fryA	fryB,fryC,ypdF,ypdE,fryA
fsaA	fsaA
fsr	fsr
fsr	fsr
fsr	fsr
fsr	fsr
ftnA	ftnA
ftnB	ftnB
ftnB	ftnB
ftsB	ftsB
ftsK	ftsK
ftsK	ftsK
ftsK	ftsK
ftsP	ftsP
ftsP	ftsP
ftsX	ftsX
ftsX	ftsX
ftsYEX	ftsY,ftsE,ftsX
fucAO	fucA,fucO
fucPIKUR	fucP,fucI,fucK,fucU,fucR
fucR	fucR
fumA	fumA
fumAC	fumA,fumC
fumC	fumC
fumC	fumC
fxsA	fxsA
gadAX	gadA,gadX
gadW	gadW
gadW	gadW
gadX	gadX
gadXW	gadX,gadW
gadBC	gadB,gadC
gadC	gadC
gadC	gadC
gadC	gadC
gadE	gadE
gadE	gadE
gadE	gadE
gadE-mdtEF	gadE,mdtE,mdtF
gadE-mdtEF	gadE,mdtE,mdtF
mdtEF	mdtE,mdtF
mdtEF	mdtE,mdtF
mdtEF	mdtE,mdtF
gadY	gadY
galETKM	galE,galT,galK,galM
galETKM	galE,galT,galK,galM
galETKM	galE,galT,galK,galM
galM	galM
galF	galF
galP	galP
galR	galR
galS	galS
galU	galU
gapA	gapA
gapA	gapA
gapA	gapA
gapA	gapA
gapA	gapA
gapA-yeaD	gapA,yeaD
yeaD	yeaD
